awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13520,立命館大学,吉岡 潤,変分原理により解き明かす、キラル液晶の回転駆動と動的散逸構造,温度勾配、および電場下の液晶滴において、配向変形、回転、および自励振動現象が誘起されることを発見した。上記の非平衡現象が生じているときの液晶滴内部の配向場と流動場を、偏光、共焦点顕微鏡観察および蛍光退色法によって測定した。これらの実験結果に基づいて現象を単純化したモデルを設計し、オンサーガーの変分原理による理論解析を行った。その結果、上記の現象の機構は全て、液晶における配向場と流動場の相互作用によってよく説明されることが示された。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,液晶,非平衡現象,変分原理,非平衡,散逸構造,ソフトマター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13518,神奈川大学,客野 遥,1次元リボン状氷の構造と物性：楕円筒形カーボンナノチューブを用いた研究,本研究では、チューブ軸に垂直な一軸方向の外力により変形させた単層カーボンナノチューブ（SWCNT）に内包された水の物性を分子動力学計算によって調べた。その結果、十分につぶれて扁平化したSWCNTにおいて、低温で新規な氷結晶（リボン状の氷）が形成されることを見出した。リボン状氷ではプロトンの配向が秩序化しており、SWCNTの長さ方向に並ぶ水分子鎖の本数によって誘電特性を制御可能である。また、リボンのエッジ（端）構造に沿った特異なプロトン輸送が起こることが示された。これらの新規な物性は、リボン状氷がチューブ軸に垂直な方向に有限の幅をもつことに由来している。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,ナノ氷,水,カーボンナノチューブ,ナノサイエンス,プロトン輸送,誘電体,水のナノサイエンス,物性実験,ナノチューブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13517,慶應義塾大学,山本 詠士,アクアポリン6のアニオン透過メカニズムの解明,膜貫通タンパク質であるアクアポリンによる分子の選択的透過機構を分子レベルで明らかにするために，分子動力学シミュレーションを行った．アニオンチャネルとして知られるアクアポリン6は実験による立体構造の報告がないため，タンパク質立体構造予測法によって構造をモデル化した．モデル化したタンパク質構造の生体膜中における安定性をシミュレーションにより確認した．さらに，塩化物イオンの透過経路を特定し，イオン透過時の透過経路内への水分子の充填が重要であることを分子レベルで明らかにした．,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,アクアポリン,分子動力学計算,分子透過,細胞膜,浸透圧,アニオン透過,水透過,タンパク質立体構造予測,分子動力学シミュレーション,アニオン,水分子,分子シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13516,九州大学,藪中 俊介,増殖する細胞組織の連続体理論の構築とその器官形成への応用,細胞増殖の効果を取り込んだ連続体理論、およびその数値解析のための数値スキームを構築した。さらに2種細胞系の場合にも理論を拡張し、細胞選別、細胞競合の効果を記述する連続体理論を構築した。細胞選別の状況での数値解析を行い、二種類の細胞の動的な性質の非対称性（動きやすさの違い）に応じて、平衡系では生じないような非平衡系特有の相分離現象が生じることを発見した。またこのような理論の母体となるような平衡近傍の相転移理論の基礎的な研究も行い、従来知られていなかったO(N)模型の繰り込み群の固定点の構造や臨界点近くの二成分系の温度勾配下での輸送特性を明らかにした。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,細胞競合,細胞選別,細胞組織,温度勾配,臨界現象,繰り込み群,2成分流体,二成分流体,極性,相分離,２成分流体,非平衡クロス効果,連続体理論,極性の記憶効果,界面の安定性,数理モデル,アクティブマター,増殖,ソフトマター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13515,国立研究開発法人理化学研究所,川口 喬吾,立体流路における神経幹細胞,本研究では、神経幹細胞の培養系において、３次元ゲル培養条件下から染み出る細胞集団の運動がキラリティを持ち、それがミリメートルスケールの時計回りの構造を作ることを見つけた。このキラリティある構造は再現性が高く、いつも同じ回転方向を生じるものであったが、細胞骨格系の阻害剤を用いた実験により、この構造のキラリティにはアクトミオシン系が特に重要であることがわかり、特にそのキラリティの強弱をコントロールする方法も発見した。さらに、キラリティの細胞的起源を探るため、低密度培養条件の実験系・解析系を確立し、一細胞の運動のキラリティと相互作用レベルで生じるキラリティのバランスを定量することも可能となった。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,細胞集団運動,トポロジー,生物物理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13514,東京大学,斉藤 稔,場の3D大変形と反応拡散が織りなす新奇の自己組織化現象：マクロ飲作用を題材として,一細胞が示す三次元的な細胞膜変形の理解を目的としてマクロ飲作用の数理モデル解析を行った。フェイズフィールド法を応用し、細胞膜の3D変形とシグナル因子の膜上の反応拡散を同時に扱うことのでできる手法を開発した。これを用いて、実験的に観測されているマクロ飲作用の形態ダイナミクスのほとんどを再現することが可能となった。また凹凸のある基質上での三次元細胞運動を説明する数理モデルも構築し、基質の曲率により細胞運動がどのような影響を受けうるかの研究も行った。モデル解析を通し、膜変形と膜上の反応拡散現象が協働することではじめて起こる細胞膜陥入現象の新奇メカニズムを提案した。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,細胞膜変形,自己組織化,反応拡散現象,自己組織化現象,ソフトマター,フェイズフィールド法,反応拡散,マクロピノサイトーシス,エンドサイトーシス,3次元膜変形,反応拡散系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13513,東北大学,芝 隼人,イオン液体の示すメソスケール協同現象の計算科学研究：遅い緩和と界面ゆらぎ,イオン液体は、カチオンに非極性アルキル側鎖を伴うことによって、単一成分であっても極性部・非極性部のナノスケール不均一構造を発現し、複雑な挙動を実現する。本研究課題では、特に界面上でのイオン液体の振る舞いによる電気的特性に着目して一定電圧差の電極間に置かれたナノスケールキャパシタの全原子分子動力学シミュレーションを実施した。その結果、ナノスケール閉じ込め下において、イオン液体の界面吸着挙動が電気二重層形成に影響を与えている実態を明らかにした。また、アルキルイミダゾリウムイオン液体における並進緩和・回転緩和のカップリングあるいはデカップリングを調べるための緩和解析手法を発展させた。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,イオン液体,電解質キャパシタ,電圧一定アンサンブル,回転緩和,微分容量,分子動力学,Stokes-Einstein-Debye則,自己相関関数,分子動力学法,GPGPU,StokesーEinsteinーDebye則,電解液キャパシタ,メソフェーズ,ガラス転移,界面ゆらぎ,液晶相,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14679,国立研究開発法人物質・材料研究機構,佐々木 海渡,分子性液体のポリアモルフィズムと分子運動の関係,ポリアモルフィズムとは2つの液体状態が存在することを意味する。ポリアモルフィズムを示すいくつかの分子性液体を測定試料として選び、2つの液体状態で観測される様々な分子運動を幅広い時間域（100 sから1 μs）、温度域（-160℃から250℃）において調べる。分子運動の観測手法として、本研究課題で整備する「その場観察広帯域誘電分光法」、「高速カロリメトリー」を用いる。これにより分子性液体におけるポリアモルフィズムと分子運動の関係を明確にする。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,ポリアモルフィズム,マンニトール,ガラス転移,Johari-Goldstein β緩和,α緩和,鏡像異性体,誘電緩和,分子性液体,ポリアモルフィック転移,水素結合,混合系,誘電分光法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14678,兵庫県立大学,高山 裕貴,放射線損傷限界を超える細胞の分子分解能三次元イメージング,細胞分裂機構の分子構造基盤解明を目指し、細胞「丸ごと」の三次元構造解析を行う。超分子複合体を解像できる数nm分解能の達成を目指す。低温コヒーレントX線回折トモグラフィー法により、細胞内の電子密度分布を非染色・非侵襲かつ放射線損傷を低減して可視化する。放射線損傷低減下であっても空間分解能は20 nm程度が限界と予想され、(1)コヒーレントX線の干渉効果を活用した回折シグナルの増強と(2)情報科学を活用した低照射線量トモグラフィーの技術開発により、空間分解能向上を目指す。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,コヒーレントX線回折イメージング,タイコグラフィ,凍結水和細胞,トモグラフィ,位相回復,シグナル増強,スパースモデリング,トモグラフィー,細胞・オルガネラ,放射線損傷,凍結水和,全変動正則化,コヒーレント回折イメージング,圧縮センシング,ナノイメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14677,大阪大学,吉村 優一,蛋白質天然変性領域がもたらす相転移ダイナミクスの構造基盤解析,ＴＩＡ１が顆粒状構造体や不溶性凝集体へと状態転移する条件を体系的に検証して、相図を作成する。得られた相図に基づいて、ＴＩＡ１が構造転移する分子機序を考察する。（１）相図に基づくアプローチ」と（２）天然変性領域の動的構造のＮＭＲによるアプローチのマクロ・ミクロ両視点の包括的解析から、ＴＩＡ１の天然変性領域を介してストレス顆粒や不溶性凝集体へと構造転移する一連の重合反応の機序を明らかにする。,若手研究,小区分13040:生物物理、化学物理およびソフトマターの物理関連,天然変性蛋白質,核磁気共鳴,カルボニル１３Ｃ,カルボニル１３Ｃ検出,１３Ｃ‐１Ｈ相関スペクトル,ｍｕｌｔｉｐｌｉｃｉｔｙ,相転移,天然変性タンパク質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
