awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14454,近畿大学,廣岡 義博,ナミビア北中部における非破壊計測を利用した現地主要作物の栽培管理技術の検討,ナミビア北中部は半乾燥地でありながら集中的な豪雨や洪水が生じることから，耐乾性作物の湿害が問題となっている．そこで，現地主要作物であるパールミレットの生育に関して，異なる水環境下での栽培管理の影響を評価することを目的として研究を行った．パールミレットの収量に関する水環境と施肥方法には有意な交互作用があり，異なる降雨パターンによって最適な施肥方法が異なってくることが明らかとなった．また，非破壊での経時的な葉面積指数計測によって，パールミレットの生産性を簡易的に推定する手法を開発した．さらに，パールミレットとイネの混作をこの地域の季節性湿地に導入することは経済的に有用であることを明らかにした．,若手研究,小区分39020:作物生産科学関連,パールミレット,非破壊計測,LAI,ナミビア,混作,季節性湿地,半乾燥地,気候変動,トウジンビエ,施肥管理,季節湿地,耕うん,葉面積指数,水環境,栽培技術,化学肥料,牛糞,接触混植,アイスプラント,湛水ストレス,施肥,栽培管理,栄養環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14453,名古屋大学,菊田 真由実,イネ１穂籾数増加遺伝子の準同質遺伝子系統における穂首維管束系と登熟特性との関係,ケニアにおけるイネ収量向上のため，現地の品種に籾数増加遺伝子（Gn1aおよびWFP）を導入し収量反応を調査した．籾数遺伝子導入系統では，籾数増加による増収効果が登熟歩合低下により抑制された．Gn1aとWFPを同時に導入した系統では，相加的遺伝子効果により1穂籾数が最も多くなり，収量も増加傾向を示した．両遺伝子導入系統では，籾への養水分の輸送経路である穂首維管束の数と断面積が親品種と比較して増大していることが明らかになった．環境条件や遺伝子を導入する品種次第で，籾数増加遺伝子導入による収量増加が可能であることが示された．,若手研究,小区分39020:作物生産科学関連,イネ,準同質遺伝子系統,ケニア,NERICA,登熟歩合,1穂籾数,登熟能,穂首維管束,収量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14452,岐阜大学,田中 貴,大規模区画圃場における小麦・大豆の収量・品質の高位安定化を目指した作物学的研究,本研究は、大規模区画圃場において、作物の収量・品質に及ぼす要因を、圃場の前歴や作物の前後作との相互関係、土壌要因などの観点から明らかとし、作物の生産性向上に向けた方策を提示することを目的としている。成果として、マルチスペクトルカメラを搭載したドローンによるリモートセンシング技術と機械学習を用いることで、小麦の収量及び子実タンパク質含有率を推定するモデルを開発した。また、土壌特性値を効率的に空間補完できるサンプリング手法を確立できた。さらに、土壌特性値や過去の作業体系・土地利用が作物の収量等に及ぼす影響を評価する上で、未観測な土壌要因を考慮する統計手法として空間線形混合効果モデルを開発した。,若手研究,小区分39020:作物生産科学関連,大規模区画圃場,小麦,大豆,リモートセンシング,2年3作輪作体系,空間変動解析,作業体系,水稲,大区画圃場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14451,岩手大学,松波 麻耶,イネの水と窒素の需要を反映する根の遺伝子群のフィールドでの発現動態の解明,作物が実際に生育するフィールド環境下で、イネの田植えから登熟までの幅広い生育期間において、養水分の吸収に関与する遺伝子がどのような発現動態を示すかについて調査を行った。網羅的な遺伝子発現解析により、根で発現する遺伝子の生育ステージによる発現レベルの変化や温度、蒸散要求量などの気象条件に対する応答性を解析した結果、全体のおよそ３０％の遺伝子が栄養生長期と生殖生長期で大きく発現レベルが変化すること、気象条件に対する応答性も生育ステージで転換する遺伝子が多数存在することなどを明らかにした。養水分吸収に関与する遺伝子の発現パターンからフィールドでのイネの生育に重要な遺伝子を抽出した。,若手研究,小区分39020:作物生産科学関連,イネ,根,フィールド,アクアポリン,窒素輸送担体,トランスクリプトーム,遺伝子発現,窒素輸送,窒素輸送体,野外群落,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14450,北海道大学,中島 大賢,C4光合成における耐冷性機構の探索 ―熱放散と葉緑体温度の関連性に着目して―,寒地におけるトウモロコシ栽培では，低温を避けるため早生品種の密植栽培で増収を図っているが，これが倒伏の一因となっている．そこで，耐冷性を備えた晩生品種の育成・利用の可能性を探るため，北海道向けトウモロコシ品種の低温下における光合成特性の品種間変異を調査し，その中から低温耐性・感受性品種を同定した．これらの品種を比較した結果，耐冷性に優れる品種では光合成に関わる内生成分含量に加え，熱放散活性が高いことが明らかとなった．また，熱放散活性が異なる品種を用いて熱放散が葉緑体温度に与える影響についても考察した．,若手研究,小区分39020:作物生産科学関連,トウモロコシ,低温ストレス,光合成,熱放散,レーザー誘起蛍光,葉緑体,光阻害,C4光合成,ススキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15826,国立研究開発法人農業・食品産業技術総合研究機構,須田 碧海,有機物施用による土壌ヒ素の可溶化：有機物の「分解性」に着目したリスクの予測と低減,堆肥などの有機物を施用することで、土壌に含まれるヒ素の可溶化が促進されてコメのヒ素濃度が上昇する例が報告されている。しかし、どのような有機物で土壌ヒ素を可溶化しやすいのかはよくわかっていない。本課題では有機物の「分解されやすさ」に着目し、湛水土壌培養試験や放射光源X線分析などにより、1)分解されやすさの指標によって、施用した有機物の土壌ヒ素可溶化リスクを予測する方法、および2) 有機物の施用による土壌ヒ素の可溶化を低減する方法、を確立する。それにより、有機物の施用にともなうコメのヒ素濃度の上昇を抑制・回避する上で重要な情報を提供する。,若手研究,小区分39020:作物生産科学関連,土壌化学,ヒ素,有機質資材,水田土壌,酸化還元,土壌,有機物,還元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15825,高崎健康福祉大学,橋田 庸一,イネの葉におけるショ糖合成の制限要因の解明,植物において、葉で光合成によって同化された炭素はショ糖として他器官に転流し、植物体の成長や子実の生産に利用される。作物の葉におけるショ糖合成は、転流効率の制御を通じて作物の生産性に重要な役割を果たしている。申請者はこれまでに、イネの葉におけるショ糖合成の制限要因と考えられてきたショ糖リン酸合成酵素（SPS）が制限要因ではない可能性を示す結果を得た。本研究では、イネ変異体の作出・解析を通じて、イネの葉におけるショ糖合成の真の制限要因の解明を目指す。,若手研究,小区分39020:作物生産科学関連,イネ,糖代謝,ショ糖合成,SPS,cFBPase,ゲノム編集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15824,九州大学,濱岡 範光,ヤムの巧みな繁殖戦略を紐解く：地上部と地下部の連絡を介した塊茎肥大制御因子の同定,ヤマノイモ属植物の食用種であるヤムは、主として新芋(地下塊茎)とムカゴ(地上塊茎)による栄養繁殖を行うため、他の作物と比べて品種育成が進んでおらず、広域的な栽培が制限されてきた。ヤムの全ゲノムが解読された今こそ、地上部と地下部における塊茎肥大制御因子を同定することで、ヤムの繁殖戦略の一端を明らかにし、国内外における安定生産および育種への応用を目指す。本研究では、ヤムの一種であるダイジョを用い、新芋とムカゴの形成・肥大に関わる生理的要因を地上部と地下部の環境応答(日長、光質、土壌水分)の面から解析する。また、ダイジョ突然変異系統パネルを作出し、これら形質を制御する因子(遺伝子)を同定する。,若手研究,小区分39020:作物生産科学関連,ダイジョ,塊茎肥大,光環境,土壌水分,転流,放射線照射,突然変異,ムカゴ形成,光合成特性,ソース-シンクバランス,突然変異体,シンクソースバランス,13C分配,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15823,名古屋大学,大井 崇生,イネ科葉肉組織の葉緑体配置と二酸化炭素の関係の三次元形態観察による解明,本研究では様々な光合成タイプ（C3・温帯型/寒冷型，C4・NADP-ME型/NAD-ME型/PCK型，等）のイネ科作物を対象に，葉組織を三次元再構築法で観察し，組織における細胞の位置，各細胞の立体形状，葉緑体の細胞内配置に着目して分類し，光合成タイプとの関連を見出す．さらに，光合成に影響する光量とCO2濃度を増減させた際に葉緑体配置に生じる変化を三次元解析し，特にC4植物で生じる葉肉葉緑体の凝集運動が維管束鞘細胞におけるCO2濃縮機構と関係するか検証する．また，C3-C4中間植物やC3植物においても人為的なCO2濃度の操作によって葉肉葉緑体がC4植物でみられるような凝集運動を行うかも確かめる．,若手研究,小区分39020:作物生産科学関連,イネ科作物,C４光合成,葉緑体,環境ストレス,三次元観察,卓上SEM,マイクロX線CT,イネ科,形態,電子顕微鏡,C4光合成,二酸化炭素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15822,宇都宮大学,神山 拓也,ダイズの菌根菌接種による生育応答を決定する地下部形質の解明と関連QTLの同定,リン施肥量削減に向け、ダイズのAM菌接種による生育応答（MGR）の高い品種の育成が求められている。MGRは根系形態とAM菌の菌糸長により決定すると考えられているが、両者を詳細に定量化できる技術は存在せず、どちらがMGRを決定しているのかは未だ不明である。本研究では、根箱法の改良により菌糸も同様に定量化し、ダイズミニコアコレクションのMGRを決定する地下部形質を解明する。また、ゲノムワイドアソシエーション解析（GWAS）によりそのQTLを同定する。さらに、圃場でも、この地下部形質によってMGRが決定するのか検証する。これらにより、MGRの高い品種の育成に貢献する。,若手研究,小区分39020:作物生産科学関連,ダイズ,リン,アーバスキュラー菌根,根系,アーバスキュラー菌根菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
