awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23735,公立はこだて未来大学,矢吹 渓悟,バリアフリー社会の実現 ～語用障害をかかえる人を再現する人工知能対話システム～,語用障害をかかえる人は，あいまいな発話の言外の意味を理解することが困難であるため，定型発達者との対人関係に問題をかかえやすい．言外の意味とは，任意のあいまいな発話の発話意図のことである．この問題の解決策は，定型発達者が具体的でストレートな表現を用いて対話を行うことである．このことから，本研究の目的はこの対人関係の問題を定型発達者側から改善することである．方法として，事例をもとに定型発達者が語用障害をかかえる人との会話を疑似体験しながら，話し方の改善策を見出すことができる対話システムを開発する．,特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,語用障害,定型発達者,学習システム,音声対話,Mixed Reality,障がい者の適切な理解,自閉症スペクトラム障害,社会的（語用論的）コミュニケーション障害,コミュニケーション支援,対話システム,教育システム,拡張現実（AR）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22939,東京大学,張 軼威,ソーシャルメディアにおけるコンテンツを用いた人気度とスタイル解析,"Social media has emerged as an important part of people's daily life. My research is focusing on analyzing what users posted on social media and how they react to it. My research can be applied to analyze implicit relationship between brands, and recommend items or locations to users.",特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,Social Media Marketing,Image Recommendation,Image Style,Content Discovery,Social Media,Recommendation,Hashtag,Graph Embedding,Social media,Brand,Influencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13551,東京大学,金 洪善,グラフ埋込を用いたソーシャルネットワークにおける言語横断的影響力の解析,本研究では，ソーシャルネットワークにおける言語横断的影響力を持つ情報伝播の解析を目的とし，言語横断的影響力を持つ情報を早期予測するシステムを実現する．そのために，ユーザの言語・トピックの差異を考慮したイントラクショングラフ構造に焦点を当て，まずユーザ（ノード）の言語とトピックの特徴を考慮して、グラフからコンテクストを生成する手法を確立する．そこで，ユーザ間の関係と情報伝播の過程を正しく表現できるコンテクストを生成するモデルを目標とする．つづいてユーザの特徴とグラフ構造のコンテクストを埋め込む機械学習を利用する予測システムと統合し，言語横断的影響力を持つ情報伝播を予測するシステムを構築する．,特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,言語横断的情報拡散,国横断的情報拡散,ソーシャルネットワーク,情報拡散早期予測,情報拡散,グラフ埋め込み,言語横断,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10816,筑波大学,伊藤 寛祥,ノードがテキスト情報を持つ動的ネットワークにおける分散表現の予測,本研究では，SNSや研究者の共著ネットワークなど，人がテキスト情報を発信し人々がつながりを持つデータを対象とし，このようなネットワークの未来のつながりの状態および人々の関心の予測を目的とする．このような問題に対し，本研究では分散表現と呼ばれるネットワークの特徴を捉えた低次元ベクトル表現の学習手法に着目し，時間経過による分散表現の変化をモデルにより予測することによって未来のネットワークの状態を予測する．これらの達成のため本研究では，人とテキスト情報との相互作用によるネットワークの変化の数理モデル化，および予測手法の確立を目指す．,特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,非負値行列分解,クラスタリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J12402,東京大学,宮崎 邦洋,ソーシャルメディアにおける画像データを用いた流行トピックの検出・予測に関する研究,本研究では、ソーシャルメディアに投稿される画像を収集、分析することで、流行の分析や予測を行う手法の研究・開発を行う。背景としては、主にマーケティングの文脈においてソーシャルメディア画像の活用ニーズが高まっていることがある。,特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,ソーシャルメディア,ファッション画像,トレンド分析,ファッション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J10415,東京工業大学,中嶋 一貴,ランダムウォークサンプリングに基づくソーシャルグラフ構造の高精度な解析手法の確立,Facebookに代表されるソーシャルグラフは，世界規模の人間同士の繋がりから成る社会構造を明らかにする貴重な情報源である．しかし，従来のソーシャルグラフ解析手法は，推定対象の統計量の制限と統計量の推定精度のいずれかに問題点がある．本研究では，ランダムウォークにより得られるサンプルから元のソーシャルグラフを復元する手法を開発し，ソーシャルグラフの詳細かつ正確な解析を可能にする．,特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,ソーシャル・ネットワーク分析,ソーシャル・ネットワーク,ランダム・ウォーク,特徴量推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J10312,大阪大学,渡 大地,ダイナミックプライシングに基づく次世代エネルギープラットフォームの研究,近年太陽光発電の大量普及にともない、ダックカーブと呼ばれる現象が問題となっている。これは太陽光発電が日中しか行えないことで、昼と夜の電力需要に大きなギャップが生じる現象である。その解決策として、電力網の状況に応じて電力価格を変化させるダイナミックプライシングを通じた電力需給バランス調整が期待される。そこで本研究では，ダックカーブの解決に向けたダイナミックプライシングの方法論確立を目指す。供給側の深層強化学習に基づくダイナミックプライシングと、需要側の価格予測に基づくエネルギーマネジメントの相互運用によってダックカーブの解決が可能か、また最適な電力網構成についても検討するなど多角的に評価する。,特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,デマンドレスポンス,ダックカーブ,ダイナミックプライシング,再生可能エネルギー,太陽光発電,エネルギーマネジメント,蓄電池,スマート家電,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1338,東京工業大学,安納 爽響,早期群集混雑予報における空間カバレッジ広範化のための都市動態モデリングの研究,混雑下における雑踏警備や迂回路の提示，また今日のコロナ禍における人々の密集を避けるための手段として，早期群衆混雑予報の枠組みが求められている．一方，携帯端末位置履歴に基づく人流解析の研究が近年盛んに行われているが，人々の未来の行動予定と合わせても予報可能な地点・予報の正確さが限定的であった．本研究では，携帯端末位置履歴，人々の行動予定を表す乗換検索履歴，混雑を誘発するイベント情報などを統合し，予報地点の拡大化・精緻化に取り組む．さらに，混雑会場周辺の人々の流れをモデル化し，予報の広範囲化に取り組む．,特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,群集混雑,異常性,希少性,バイアス抑制,密度比推定,混雑の継続,状態認識型,群衆混雑,継続時間,精緻化,ライフサイクル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0325,秋田大学,佐々木 一織,まち歩きを対象としたデータ駆動型地域づくりのためのGPS軌跡分節化手法の研究,既存資源の活用を標榜するまち歩き観光は，あらゆる地域に開かれており，近年国内外で展開されている．観光事業を起点とした地域振興には持続性が不可欠であり，低コストかつ効果的な観光者行動データの取得・蓄積・分析を通して，観光者の実際に基づく政策改善と観光資源発掘が求められている．,特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,地域観光,位置情報サービス,ジオフェンシング,データマイニング,自動チューニング,歩行者分析,まち歩き,モバイルビッグデータ,ホットスポット分析,ホットストリート分析,分節化軌跡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KF0288,九州大学,峯 恒憲,大規模な人の位置情報とSNS情報に基づく地域イベント特定に向けたオントロジ―学習,"We collect data from social media such as twitter, and automatically extract various events and related information. We also use various web services such as Wikidata to obtain the meanings of the expressions. Based on these analysis results, we automatically construct ontologies and knowledge graphs, which will be used in combination with people's movement information to discover new event information about newly or temporary held, recommend the discovered events to the residents of the area where the events are held and people visiting the area and answer questions about the events.",特別研究員奨励費,小区分62020:ウェブ情報学およびサービス情報学関連,Lesser Known POI,Few Shot Learning,Knowledge Graph,Ontology,Category estimation,Representation Learning,Data enrichment,Multi-label estimation,機械学習,オントロジ―,知識グラフ,twitter,POI,カテゴリ推定,人流データ,地域イベント,オントロジ,Twitter,実体抽出,オントロジ自動構築,地域イベント推薦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
