awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J12435,東京大学,一色 真理子,ポリネシア人はなぜ背が高いのか。－ポリネシア人における正の自然選択の検出－,オセアニアへのヒトの移住は、約５万年前の現在のパプア人の祖先集団による移住と約3000年前のラピタ人と呼ばれるアジア起源の集団による移住の大きく２回に分けられる。ポリネシア人はこの２つの祖先集団の混血により形成され、アジア集団と遺伝的に近縁である。しかし、ヒトの身長の個体差の8割が遺伝的因子に起因するにも関わらず、ポリネシア人は他のアジア集団よりも男女ともに平均で約10cm身長が高い。そこで我々は、ポリネシア人の高身長化は、身長を高くする効果のあるパプア人由来の多型、あるいはポリネシア人特異的突然変異が正の自然選択によって集団中に広まったために起きたという仮説を立て、検証することとした。,特別研究員奨励費,小区分45050:自然人類学関連,ポリネシア,オセアニア,自然選択,ゲノム,混血,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23285,京都大学,半沢 真帆,サバンナ霊長類の遊動のダイナミクスと群間交渉によって維持される群内の協力性,サバンナに生息するパタスモンキーの局所的な資源を巡った群間競合から、同じ環境で生活していた初期人類で起きていたとされる集団間闘争と、それによって維持される集団内の協力性のメカニズムについて類推する。,特別研究員奨励費,小区分45050:自然人類学関連,群れのまとまり,凝視行動,音声コミュニケーション,GPS首輪,群れのまとまりの維持機構,ギニアサバンナ,パタスモンキー,GPS,群間関係,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J15035,京都大学,仲井 理沙子,チンパンジー/ヒトiPS細胞を用いた初期神経発生におけるヒト特異的分子基盤の解明,ヒト大脳皮質の形成は、重要な発生進化イベントであり、その発生動態は最も近縁なチンパンジーと比較しても時空間的に異なる。脳発生の種差は個体発生が進むにつれて拡大していくと考えられるため、種差の起源を特定するためには脳発生過程を初期段階から継時的に解析する必要があるが、ヒトを含む霊長類の初期発生を対象とした研究の実施は困難である。そこで本研究では、チンパンジーとヒトの初期神経発生過程において、「いつ/どのような違いが、どのようにして」生じるのかについて明らかにするために、チンパンジー/ヒトiPS細胞を用いて初期神経発生過程を培養下で再現し、種間比較によるヒト特異的な分子基盤の探索と機能解析を行う。,特別研究員奨励費,小区分45050:自然人類学関連,霊長類,iPS細胞,初期神経発生,進化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J15166,京都大学,LEE WAN YI,霊長類の腸内細菌の消化能力におけるヒト化,"By comparing fermentative ability between human and wild/captive great apes, I will examine the relative importance of phylogeny and diet in shaping hominoids’ fermentative ability and gut microbiome.",特別研究員奨励費,小区分45050:自然人類学関連,gut microbiome,great ape,fermentative ability,primate feeding ecology,gut microbiom,phylosymbiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J11107,東京大学,天野 英輝,化石脳の数理形態学的復元に基づく初期ホモ属の脳機能進化過程の推定,ヒトは他の霊長類と比較して著しく巨大な脳を持ち、高度な認知学習能力、コミュニケーション能力などの特異な特徴を持つ。しかし、巨大な脳は多くの代謝エネルギーを必要とするため、生存戦略的に有利な点ばかりではない。進化の過程で、どのような選択圧が作用し、なぜ大脳化したのかを明らかにするためには、大脳化の始まりである猿人から初期ホモ属に至る過程において、脳全体の容量だけではなく、脳の各領域の相対容量がどのように変化し、どのような機能差が生まれたのかを議論する必要がある。本研究では、猿人と初期ホモ属の化石頭蓋骨内部に収まっていた脳形態を数理的に推定する方法を開発し、大脳化のプロセスを明らかにする。,特別研究員奨励費,小区分45050:自然人類学関連,原人,化石頭蓋エンドキャスト,化石脳復元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2819,東邦大学,石塚 真太郎,父方の血縁選択の働き易さからみる霊長類の社会性の進化メカニズム,哺乳類において、父方の血縁者間の血縁選択がどのように働き、それがどのように個体間の社会関係に影響しているのかについては十分に調べられていない。集団内に複数のオスが在籍する種では、オスの繁殖の偏りが大きくなるほど集団内の父方の兄弟姉妹の数が増え、父方の血縁選択が働き易くなることが予想される。本研究では、集団内の父方姉妹の数が異なるマカク属内の比較研究により、「集団内に父方姉妹が多く、父方の血縁選択が働き易いほど、他メスへの親和・非敵対性が高くなる」という仮説を検証する。,特別研究員奨励費,小区分45050:自然人類学関連,霊長類,血縁選択,ニホンザル,繁殖の偏り,母子関係,血縁淘汰,親和,敵対,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1881,京都大学,木下 勇貴,三次元筋骨格モデルで紐解くヒト直立二足歩行における体幹部「ねじり」適応の解明,ヒトの直立二足歩行がどのように進化したのかは、進化人類学における最大の問いの一つである。脊椎動物の移動運動を比較したとき、ヒトの直立二足歩行は、腕の振りにともなう体軸周りの回転、「ねじり」を含む点で特異的である。しかし、ヒト特有のねじり運動が、どのような筋骨格構造の改変によって達成されたのかは明らかでない。そこで、本研究では「ヒトの体幹部は近縁種に比較してねじりへの適応性が高い」という仮説を、(1)関節可動域、(2) 骨形態、(3) 関節応力の三つのレベルで検討する。本研究により得られた知見は、ヒト二足歩行の進化史の解明だけでなく、脊椎動物の移動運動の進化という観点からも意義深い。,特別研究員奨励費,小区分45050:自然人類学関連,直立二足歩行,脊椎,回旋,光学式モーションキャプチャ,三次元表面スキャナー,霊長類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0136,北海道大学,北山 遼,オナガザル類の混群形成要因の解明：ゲノム浸透と社会マイクロバイオームに着目して,異種が単一の群れを形成する現象を混群と呼ぶ。競争関係にあるはずの異種が共存する混群は、動物の群れがどういうものかを考える上で重要な現象である。アカオザルとブルーモンキーはアフリカの複数地域で混群をつくるが、その理由はわかっていない。本研究では、ウガンダ共和国カリンズ森林に生息するアカオザルとブルーモンキーの混群を対象に、これまで注目されてこなかった集団遺伝学的な立場からこれを解明することを目的とした。2種は潜在的に交雑可能であり、混群が遺伝的な単位として機能する可能性がある。混群形成集団において、種間で適応的な遺伝子や腸内細菌を交換しているのではないかという仮説を立て、これを検証する。,特別研究員奨励費,小区分45050:自然人類学関連,混群,霊長類,グエノン,腸内細菌叢,社会マイクロバイオーム,ゲノム,遺伝子浸透,ウガンダ,アカオザル,ブルーモンキー,ウガンダ共和国,カリンズ森林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KF0222,京都大学,高井 正成,新第三紀のユーラシア産霊長類の歯における葉食性への適応,真猿類オナガザル科は、マカクやヒヒを含むオナガザル亜科とラングールやリーフモンキーを含むコロブス亜科から構成されている。前者が種子・果実・葉・草など様々な食物を摂食する雑食性であるのに対し、後者は主に葉や草などを接触する葉食性適応が進んでいることが知られている。本研究では、コロブス亜科の化石及び現生種の大臼歯歯冠部の形態を３次元データを用いて解析し、化石コロブス類の歯の形態の進化過程を追跡し、かれらの葉食性適応の進化プロセスを解明しようとするものである。,特別研究員奨励費,小区分45050:自然人類学関連,コロブス亜科,歯冠形態,葉食性,進化,化石,霊長類,歯牙化石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KF0092,東京大学,太田 博樹,古代マイクロバイオーム解析による縄文人の食性・健康・行動の研究,先史時代の人々の遺物から得られたゲノム情報を解析し、集団の生業形態（狩猟採集・農耕牧畜）の時期的変化との関連を分析する。現代の狩猟採集を生業とする集団は、農耕牧畜を生業とする集団より、1つの集団内におけるゲノム多様性が低く、複数の集団間の違いは大きいことが知られている。本研究では、狩猟採集から農耕牧畜へ移行する時期の古代人集団の骨・歯・ミイラのゲノム解析を行い、集団のゲノム多様性の移行を定量化する。また、糞石ゲノム解析からバクテリアのゲノム多様性を解析し、生業形態の時期的変化に伴うマイクロバイオームの変化をみることで、当時の人々の健康状態、衛生環境などを推定する。,特別研究員奨励費,小区分45050:自然人類学関連,古代ゲノム,マイクロバイオーム,NGS,系統,遺伝的近縁性,ヒト,バクテリア,病原性細菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
