awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18321,大阪大学,兼村 晋哉,コライダーでの標準理論を超える新物理の検証と暗黒物質及びレプトジェネシスの探究,本研究では、素粒子標準理論では説明ができない残された大きな問題の一つであるニュートリノ振動の問題を検討する。,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,素粒子理論,ニュートリノ質量模型,暗黒物質,ニュートリノ,加速器物理,ヒッグス粒子,ニュートリノ質量,レプトン数の破れ,標準理論を超える新模型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18315,京都大学,向山 信治,ホログラフィック双対性におけるブラックホールと宇宙論の重力波による検証,Two journal papers have been published in FY2020:,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,gravitation,cosmology,holographic principle,gravitatioal waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23680,名古屋大学,安藤 梨花,21-cm線観測のための理論モデルの構築,宇宙の大規模構造の観測によって、ダークエネルギーや修正重力理論などの宇宙の加速膨張の起源を探ることができる。本研究では将来の中性水素を用いた大規模構造の探査に向けて、宇宙論的流体シミュレーションを用いて観測と比較するための中性水素の密度ゆらぎの統計量を記述する理論モデルの構築を行う。その後、実際に観測されるデータを解析する際に構築した理論モデルを用いることで、宇宙論モデルへの正確な制限を行う。,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,21cm線,宇宙の大規模構造,中性水素,宇宙論的流体シミュレーション,21-cm線,加速膨張,ハロー,シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22323,東京大学,今木 翔太,カイラル摂動論に基づく外場中の高密度核・クオーク物質の相構造の解明,QCD研究の最大の目標の一つは、中性子星および重イオン衝突の物理の全容を、QCDに基づく理論計算から解明することである。とりわけ、中性子星や重イオン衝突実験の伴う強い磁場と回転は相構造に多大な影響を及ぼすため、強磁場・回転の影響下にある核・クォーク物質の相構造を決定することは必須である。本研究の目的は、強磁場・回転の影響下にある高密度QCDの相構造を、カイラル摂動論に基づいて決定することである。,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,カイラル輸送,核・クォーク物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22251,東京大学,李 泰憲,トポロジカル相とアノマリーの対応に基づく位相的場の理論の数理的構造の研究,d次元理論の持つ対称性は、量子効果によって破れることがあり「アノマリー」と呼ばれる。,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,場の量子論,対称性,アノマリー,トポロジカル項,4次元ゲージ理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22167,東京大学,LUO Yudong,始原的宇宙磁場揺らぎのビッグバン元素合成への効果及び宇宙論的磁場進化の考察,"In this project, we mainly focus on the fluctuated primordial magnetic field evolution and its impact on BBN. For the first time a comprehensive study of primordial nucleosynthesis with fluctuated PMF will be carried out. Especially a multi-zone BBN code with fluctuated PMF background will be developed to clarify the evolution of PMF and its interaction with particles. The results will lead to a systematic MHD (magneto-hydrodynamical) study in early universe, together with primordial elements observation and CMB spectrum, it will be used to constrain PMF generation mechanism and its evolution.",特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,Primordial Black hole,r-process,Big Bang Nucleosynthesis,Magnetic Field,Screening effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22018,名古屋大学,小粥 一寛,銀河サーベイを用いた超弦理論の検証,銀河サーベイを用いた超弦理論の観測的な検証を行う．本研究は，超弦理論により存在が予言されている質量を持つスピン粒子と宇宙初期に加速膨張を引き起こすスカラー場(インフラトン)との相互作用によって生じる初期ゆらぎの非ガウス性を銀河形状を用いて検証する．スピン粒子が宇宙初期に存在する場合に，銀河形状の二点相関に，初期の非ガウス性を特徴づける量である初期三点相関の寄与が見られることが知られている．これを応用し，より理論予言に即した粒子による初期三点相関が与える銀河形状の二点相関の影響を理論的に観測的制限可能性を含め調べる．後に実際のサーベイを用いた検証のため銀河形状に対する理論モデルを詳細に検討する．,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,非ガウス性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21974,東京大学,中塚 洋佑,重力波天文学による初期宇宙現象論の観測可能性,私の研究では、初期宇宙で生成されたかもしれない原始ブラックホール(Primordial Black Hole: PBH)や重力波の研究を通じて、素粒子物理の情報を引き出すことを目指しています。温度が数百GeV以上の初期宇宙は、現代宇宙論の未解決問題(暗黒物質の生成や粒子反粒子の非対称性など)に関わる重要な研究対象です。近年進展した重力波天文学は直接の光学観測が不可能な初期宇宙への観測手段として期待されています。私の研究では、初期宇宙におけるPBH形成などの現象の理解を素粒子論的な立場から進めていきます。,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,原始ブラックホール,重力波,宇宙背景輻射,初期宇宙論,ノントポロジカルソリトン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21669,早稲田大学,杉浦 健一,超新星から中性子星に至る進化とニュートリノシグナルの研究,太陽の8倍より重い星は，その進化の果てに超新星と呼ばれる明るい星となり，最期を迎える．超新星の後には，中性子星という極めて密度の高い星が残されると考えられているが，中性子星形成に至る進化過程は未だ詳細にはわかっていない．,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,ニュートリノ,超新星爆発,原始中性子星,中性子星,ミューオン,弱い相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21593,慶應義塾大学,西村 健太郎,回転するQCD物質と物性系におけるトポロジカル輸送現象と相構造の普遍性,物質を構成するクォークなどの素粒子には左右を区別するカイラリティと呼ばれる性質を持っている。このカイラリティに伴うトポロジーによって、超高速回転している物質の相構造や輸送現象を大幅に変更させる可能性がある。本研究では、回転するQCD物質の相構造と輸送現象を明らかにすることを目的とする。また、これらの現象の普遍性をQCDと同じくカイラリティのトポロジーで特徴付けられるWeyl半金属などの物性系で調べる。,特別研究員奨励費,小区分15010:素粒子、原子核、宇宙線および宇宙物理に関連する理論,QCD相図,トポロジカル物質,低エネルギー有効理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
