awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23185,東京大学,表 伯俊,大脳新皮質アストロサイトの層特異的サブタイプの同定と機能解明,本研究のこれまでの結果から、グリア細胞の一種であるアストロサイトがマウスの大脳新皮質において、分子的・形態的に異なることを新たに見出し、層特異的な多様性を示すことを初めて明らかにした。,特別研究員奨励費,小区分46010:神経科学一般関連,アストロサイト,大脳新皮質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21739,東京大学,小針 成敬,二色Ca2+イメージングを用いたシナプス形成における神経活動の動態解明,幼若期神経細胞は、自発的な神経活動を示し、シナプス形成においては、前・後細胞の神経活動が共に重要であることが示唆されてきた。 近年、高性能多色遺伝子コード型Ca2+プローブ群XCaMPsが開発され、シナプス前・後細胞で同時Ca2+イメージングを行うことで、前・後細胞の活動を同時に計測することが可能になった。本研究では、発生期マウスのシナプス前・後細胞に別々の色のGECIを発現させ、生後1-2週齢での同時Ca2+イメージングを行ない、シナプス形成期におけるCa2+変動の時空間パターンを明らかにする。さらに、その活動を操作し、その生理的意義を検討する。,特別研究員奨励費,小区分46010:神経科学一般関連,カルシウム,Ca2+イメージング,神経活動,動態解明,シナプス形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21063,九州大学,吉原 康平,アストロサイトを切り口とした恐怖条件下における感覚鋭敏化メカニズムの解明,申請者のこれまでの研究から、脳のノルアドレナリン神経およびアストロサイトと呼ばれるグリア細胞が、軽度の機械刺激に対して過敏応答を誘発するメカニズムを明らかにした。しかし、この感覚鋭敏化メカニズムの生理学的意義は依然として不明である。,特別研究員奨励費,小区分46010:神経科学一般関連,ノルアドレナリン,アストロサイト,疼痛,ストレス,脊髄,グリアサブセット,青斑核,脊髄後角,神経障害性疼痛,Ca2+イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20907,慶應義塾大学,野澤 和弥,複数のシナプス形成分子間の競合によって作られるシナプス個性の新しい決定機構,これまでに数多くの細胞接着分子や分泌分子がシナプス形成やシナプス伝達を制御することが報告されてきたが、これら複数のシナプス形成分子がどのように相互作用し、それぞれのシナプスの個性を決定するのかについては不明な点が数多く残されている。そこで、本研究ではシナプス形成分子であるNeurexinを共通の受容体とし、競合関係にあると考えられるNeuroliginとCblnに着目することによって、複数のシナプス形成分子間の競合がシナプス個性を決定するメカニズムを明らかにする。,特別研究員奨励費,小区分46010:神経科学一般関連,神経科学,シナプス,超解像度顕微鏡,グルタミン酸受容体,シナプス形成,シナプス伝達,小脳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15405,群馬大学,小尾 紀翔,多階層イメージングを可能にする新規蛍光プローブ群の開発,精神疾患の多くがシナプス原性の病態生理を呈する中、増強したシナプス群を標識・操作する手法が確立されていないために、病態を担う神経回路を同定することは難しかった。そのため、シナプス前後を神経活動依存的に同時標識し、増強したスパイン群を可視化・操作するシナプス・アンサンブル標識法を確立するとともに、本標識法をPTSDモデルに応用することを試みる。,特別研究員奨励費,小区分46010:神経科学一般関連,AS-PaRac1,機能的コネクトミクス,シナプス・アンサンブル,シナプス光遺伝学,シナプス,2光子励起,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14526,東京大学,星 雄高,社会性ストレスによる体温変化が行動に与える影響の解明,ストレスへの曝露はうつ病や不安障害などの精神疾患を引き起こすことが知られている。本研究では発症メカニズムの一つとして、ストレスにより生じる発熱に着目し、ストレスによる温度変化が神経回路に与える影響を分子細胞生物学的に解明する。特に、社会性ストレスによるうつ様行動をはじめとする行動変化が、脳内温度上昇による温度受容体TRPV4の活性化を介した神経回路変性により生じるという仮説を検証する。,特別研究員奨励費,小区分46010:神経科学一般関連,神経幹細胞,TRPV4,マイクログリア,ストレス,成体神経新生,社会的敗北ストレス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13396,首都大学東京,DILINA Tuerde,神経ネットワーク形成における微小管結合タンパク質タウのアイソフォーム特異的な役割,"In Alzheimer’s disease brains, the equal amount of 3R- and 4R-tau is disrupted and resulting in several neurodegenerations. However, not only the functional differences between 3R- and 4R-tau but also the precise mechanism by which imbalances of tau isoforms contribute to diseases remain elusive. Thus, current study will use a new treatment strategy for Alzheimer’s disease to modify tau isoforms expression, and identify the role of 3R- and 4R-tau and the molecular mechanism of balance of tau isoforms.",特別研究員奨励費,小区分46010:神経科学一般関連,neuron connection,GRAPHIC,ventral tegmental area,nucleus accumbens (NAc),dopamine,tau isoform,synaptic interaction,non-synaptic interaction,tau,ASOs,isoform,development,axon,spine formation,synapse,dendrite arborization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12771,東京理科大学,石井 千晶,分泌関連因子CAPSを基軸とした分子/神経ネットワークレベルの記憶学習メカニズム,日々のイベントに関する記憶や空間記憶は、脳の海馬領域を中心とした神経活動によって獲得され想起される。これら記憶の形成は、特定のシナプス間での神経伝達効率の変化であるシナプス可塑性によって成立し、シナプス結合が強固になった神経細胞群が再度活動することで記憶が想起されると考えている。しかし神経伝達における厳密な調節や神経細胞群のネットワークレベルの活動に関する知見は未解明な点も多い。本研究では小胞分泌関連タンパク質CAPS1を基軸に、シナプス伝達における分子メカニズムおよび記憶・学習への寄与の解明を目的とする。,特別研究員奨励費,小区分46010:神経科学一般関連,CAPS,開口放出,シナプス伝達,プライミング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10096,慶應義塾大学,会見 昂大,成熟後の小脳におけるダイナミックなシナプス形成と改変を担う分子機構の解明,神経細胞同士の繋ぎ目である「シナプス」は発達期に形成され、神経回路を構築する。近年のイメージング研究の結果、いったん完成したシナプスは成熟後もダイナミックに変化することによって、記憶・学習の基盤として働くことが分かってきた。また、この過程の障害によって様々な精神・神経疾患が引き起こされることも分かってきた。しかし、成熟後の神経回路において、どのシナプスがどのような分子機構で改変されるのかについては、未解明な点が多く残されている。そこで本研究では、成熟後のマウス小脳をモデル系として、神経回路の改変を担う新たな分子基盤の解明を図る。,特別研究員奨励費,小区分46010:神経科学一般関連,小脳,プルキンエ細胞,登上線維,シナプス,電気生理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01068,慶應義塾大学,鹿野 悠,神経修飾物質による内的な時間経過の制御と計時機構の解明,海馬や線条体を損傷した患者では、時空間認知に異常が生じる。なかでも本研究は特に時間情報処理に着目する。私はすでにラットを用いて分単位の時間経過を脳内で表象する神経発火を発見した。つまり個体内の時間のながれを推定する指標を神経活動という形で得た。本研究では内的な時間経過の速度が経験や情動によって変化するメカニズムを解明すべく、神経修飾物質による制御機構について検証していく。具体的には、細胞種特異的な神経活動操作・記録を光遺伝学的手法で行い、各神経修飾物質による内的な時間経過への影響を行動や神経活動から推定していく。本研究によって数分単位で生じる生命現象に共通する制御機構の一端の解明を目指す。,特別研究員奨励費,小区分46010:神経科学一般関連,ドパミン,オペラント条件付け,GRABセンサー,ファイバーフォトメトリー,報酬予測誤差,海馬,時間知覚,行動課題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
