awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21564,国立研究開発法人産業技術総合研究所,猪原 英之,硫化カルボニルの動態に関与する土壌微生物の分布及び系統的特徴の解明,硫化カルボニルは硫黄化合物の中で最も高い濃度(500pptv程度)で大気に含まれており、硫酸エアロゾルの前駆物質であることから、地球の熱収支に影響を与える物質である。また、硫化カルボニルは二酸化炭素のアナログ物質であることから、植物によって二酸化炭素が取り込まれる際に、硫化カルボニルも同時に植物に取り込まれる。そのため硫化カルボニルは、植物の総一次生産量を測定するためのトレーサーガスとしても注目されており、硫化カルボニルの動態を把握することが求められている。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,硫化カルボニル分解,細菌群集構造解析,真菌群集構造解析,硫化カルボニル,微生物群集構造解析,硫化カルボニル分解微生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21563,国立研究開発法人量子科学技術研究開発機構,神長 輝一,DNA損傷・損傷応答とミトコンドリア活性変化の相関の解明,X線の生物影響を明らかにする上で細胞小器官へ影響を解明していく必要がある。本研究では特にミトコンドリアに対する放射線影響に着目し、ミトコンドリア活性とミトコンドリア量がX線のダメージによってどのように変化するのか、さらに細胞内部位特異的なX線照射やDNA損傷修復タンパク質の阻害剤を用いることで、DNA損傷とミトコンドリア活性・量変化の関連性を明らかにすることを目的とする。これにより外部ストレスに対する細胞小器官を含めた細胞応答の一端を明らかにできると期待される。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,ミトコンドリア,放射線影響,X線マイクロビーム,細胞周期,Fucci,マイクロビーム,ライブセルイメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21562,国立研究開発法人日本原子力研究開発機構,神崎 訓枝,放射線影響評価のためのタグチメソッドを応用した新規リスク評価法の開発,従来の放射線リスク評価では，被ばく影響を評価し難い低線量域では，安全評価の簡便さから被ばく線量－影響を線形で表現し，防護・管理の観点からの議論が進められてきた。しかしながら，放射線を正しく理解するためには，その生物学的真実を定式化する必要がある。そこで，本研究では，品質を社会的損失で評価するタグチメソッド（品質工学）の概念を応用し，被ばく影響を健康損失として新たに定義して，放射線生体影響を評価する。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,低線量放射線,炎症,酸化ストレス,タグチメソッド,放射線生体影響,放射線,ラドン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21561,名古屋大学,鎌内 宏光,北西太平洋の海霧頻発地域における海霧水成分の起源の解明,北海道東部太平洋沿岸をはじめに、世界各地の海霧多発地域では時にpH３前後の酸性霧が観測される。一般に霧は大気汚染物質である人為由来の硫酸や硝酸により酸性化するが、海霧が生じる気流は大洋を経る場合が多く、人為汚染物質はほぼ含まないと推定される。そこで海霧に含まれる硫黄安定同位体比を測定して海洋由来であることを確認し、さらに道東で観測される霧のpHの日変化を説明するため窒素安定同位体比を測定して人為由来の貢献を明らかにする。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,海霧,沈着,イオウ,安定同位体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21560,長崎大学,中山 貴文,放射線発がん過程におけるカロリー制限による組織応答,カロリー制限による食事療法は、放射線被ばくによる発がんを抑制することが報告されているが、その効果には臓器特異性がみられ、発がん抑制のメカニズムは未だ完全には明らかにされていない。本研究では、カロリー制限と発がんの両方に深く関係しているオートファジーとアポトーシスのカロリー制限後の応答を肺や肝臓のような異なる臓器間で比較する事によって、発がん抑制効果に臓器特異性が生じる原因とカロリー制限による発がん抑制メカニズムを明らかにすることを目的とする。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,カロリー制限,放射線発がん,オートファジー,発がん,放射線生物学,発がん研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21559,愛媛大学,後藤 哲智,魚介類に蓄積する有機ハロゲン化合物のノンターゲットスクリーニングと未知物質の探索,二次元ガスクロマトグラフ-高分解能飛行時間型質量分析計 (GCxGC-HRToFMS) とガスクロマトグラフ-高分解能二重収束型質量分析計 (GC-HRMS) を駆使して、瀬戸内海の魚介類に蓄積する多様な有機ハロゲン化合物を網羅的にスクリーニングし、沿岸域における汚染のプロファイルや時空間トレンドを解析する。また同時に、構造・起源未知物質の探索・同定を試み、それらの発生・排出起源を推定する。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,有機ハロゲン化合物,GCxGC-HRToFMS,網羅分析,構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21558,京都大学,NguyenTien Hoang,,This research will develop a high resolution species distribution model of critically endangered mammal. The model can predict the fine-scale spatial distribution of the poorly known species in spite of the limitation of direct observations. The results will enrich the understanding of habitat characteristics and distribution determinants that plays an important role in saving the critically endangered mammal from extinction. They will also enable identification of existing and potential biological corridors between protected areas and areas prioritized for landscape conservation.,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,Ecological modeling,Machine learning,Remote sensing,Spatial analysis,Wildlife corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21557,信州大学,加藤 麻理子,自然資源の観光利用における保全及び管理推進策としての利用者負担の評価に関する研究,国立公園や世界自然遺産など、自然豊かな地域において地域の自然資源の利用と保全の両立は重要な課題である。自然資源の管理や利用を進めるために必要な費用や体制の確保は大きな課題であるが、その一つの方策として、利用者負担を含む適切な対価による対象資源の保護管理費用の担保は期待が大きい。また、多くの関係者が関わる国立公園等の協働型管理運営のあり方において、地域住民が主体的に関わることで果たしうる役割や地域の持続性の観点も重要である。本研究では、地域の主体的な自然資源の管理や利用者負担のあり方について、最新の取組に関する事例調査を行い、課題や今後の方向性を明らかにする。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,協働型管理運営,自然資源管理,利用者負担,地域住民,持続可能な観光,エコツーリズム,自然資源の管理,自然資源,資源管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21556,金沢大学,原 宏江,ケモメトリクス手法を用いた下水由来未知毒性物質群の管理指標の開発,下水再利用システムの普及・拡大のためには，個別の化学物質によらず処理水の毒性を包括的に評価することが重要であり，また，毒性作用の原因物質を迅速に検出する管理指標の開発が不可欠である。本研究では，広範な下水試料に対して蛍光分析，質量分析およびヒト細胞を用いた毒性試験を実施することで大規模統合データベースを構築するとともに，細胞毒性を決定する蛍光・質量分析指紋を統計解析により探索し，下水処理水中の未知毒性物質群を簡便・迅速に特定しうる管理指標を開発する。統計解析に当たっては，スパースモデリングの理論を取り込んだElastic net回帰の環境データへの適用に挑戦する。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,未規制化学物質,Elastic net回帰,細胞毒性試験,EEM,下水再利用,スパースモデリング,飲用再利用,ケモメトリクス,FT-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21555,東京農工大学,末永 俊和,排水処理システムからの亜酸化窒素削減に寄与する非脱窒性細菌の探索,微生物反応から主に生成される亜酸化窒素(N2O)はオゾン層破壊物質・強力な温室効果ガスである。排水処理システムからのN2O 排出は今後さらに増加する見込みであるが対策技術は確立されていない。そこでN2O還元細菌の活性を高め排水処理システムからのN2O放出削減を目指す。この実現に向けて本研究では、省エネ型排水処理システムでの棲息が示唆されているN2O還元細菌の活性の検出を試みる。また、N2O還元ポテンシャルを明らかにするために、N2O還元細菌の単離を目指し、全ゲノム解析、生理活性試験での包括的なキャラクタリゼーションを行う。,研究活動スタート支援,1101:環境解析評価、環境保全対策およびその関連分野,亜酸化窒素,脱窒,ゲノム解析,排水処理,地球温暖化,温室効果ガス,オゾン層破壊,排水処理施設,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
