awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20380,京都大学,松浦 健二,社会性昆虫におけるゲノムインプリンティングによるカースト決定の実証,生物学は今まさにダーウィン以来の大きなパラダイムシフトの時代を迎えている。我々はゲノムインプリンティングが社会性昆虫のカースト決定に影響することを理論的に明らかにした。本研究は、「カースト決定のゲノムインプリンティング説」を実験的に証明し、そのエピジェネティック因子を突き止めることで、世界に先駆けて社会性進化のミッシングリンクを解明する。,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,シロアリ,エピジェネティックインヘリタンス,ゲノムインプリンティング,社会性昆虫,カースト,進化,エピジェネティクス,真社会性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20461,京都大学,曽田 貞滋,周期ゼミの羽化年決定機構と周期分化のゲノム基盤,北米の周期ゼミは13年と17年という昆虫で最長の幼虫期を持ち，13年または17年ごとに成虫が発生する．13年ゼミは南部，17年ゼミは北部に分布し，それぞれの分布域は長期にわたって安定している．本研究では， 2つの幼虫期間の制御機構に関して，年数カウント方式，成虫変態時期決定機構，遺伝的発育成長速度変異を組み込んだ新しい仮説を検証し，周期分化の背景にある遺伝的基盤をゲノム解析によって解明する．,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,生活史進化,周期生物,周期ゼミ,生活史制御,全ゲノム解析,臨界体重,生物時計,遺伝子発現,生活史制御機構,幼虫期間,トランスクリプトーム,全ゲノム配列,遺伝子発現比較,ゲノム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20587,長崎大学,山口 典之,「空のニッチ」とそれを利用する空中生活者の超感覚：空中を研究の場として,資源の分布と変化を把握し、生物がそれをどう巧みに利用するかを知ることは生態学の根本課題である。しかし空域での資源利用の研究は手つかずと言える。本研究では、ドローンとレーダーを利用した空中食物資源調査、GPS 装置を利用した資源利用者の移動経路計測をおこない、空域の生態学という開拓的課題を遂行する。空域の食物資源に完全依存した鳥種を対象とし、食物である小型飛翔昆虫の利用のあり方を解明する。「空のニッチ」と定義できる資源利用の解明ともいえる。野外生物学のフィールドは陸域・水域であり続けている。本課題では未開拓の空域をフィールドとした野外生物学を実施する。,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,ハリオアマツバメ,ドローン,飛翔性昆虫,空中採食,空のニッチ,遠隔追跡,空中食物資源,飛翔生昆虫,空中採食者,気象調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20586,京都大学,東樹 宏和,微生物群集10000実験による多種生命システムの動態予測と制御,微生物学・ゲノム科学・分析化学・生態学・数学を融合し、微生物群集（微生物叢）の動態を予測・制御する科学的アプローチを確立する。,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,時系列,微生物叢,生態系,時系列動態,生物群集,微生物,生物間相互作用,群集動態,代替安定性,群集の安定性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18241,国立研究開発法人産業技術総合研究所,菊池 義智,中途半端な共生を科学する：異宿主への適応プロセスから導く共生進化ロジック,微生物との共生は多くの動植物に見られ、生物進化の原動力となってきた。これら共生微生物は高度な宿主特異性を示すが、その進化過程は複雑で今なおブラックボックスとなっている。我々はその謎を解く鍵が、微生物が稀に見せる「異宿主（本来の自然宿主ではない生物）への中途半端な共生」にあると考えている。最近我々は、カメムシ-Burkholderia共生系において再現性の高い中途半端な共生現象を発見した。本研究では、Tn-seqや遺伝子移植を通して中途半端な共生の遺伝的基盤を解明し、宿主特異性の進化過程を理解する。本研究は、注目度の低い中途半端な共生に進化生態学の光を当て、新たな学術的価値を創出するものである。,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,共生,進化,微生物,複合適応形質,遺伝的基盤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18240,東京大学,三浦 徹,後生動物の付属肢の起源を探る：交尾器起源説の検証,動物の交尾器の発生には付属肢の発生に必要なパターニング遺伝子が関与していることが知られている。また、突出部位を発生させるDistal-less遺伝子も交尾器と付属肢の発生に用いられている。一方、動物界全体では、付属肢を持たない動物においても、雄性生殖器を有するものが多数知られる。これらから左右相称動物の共通祖先で既に交尾器を有した可能性も考えられる。交尾器の起源が付属肢よりも古ければ、交尾器の発生機構が、付属肢発生に転用された可能性もある。本研究では、最も古い左右相称動物とされる珍無腸動物を対象として、交尾器の分子発生機構および進化発生学的機構を解明することで、この仮説を検証する。,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,珍無腸動物,雄性生殖器,パターニング遺伝子,突出部委,付属肢,無性生殖,トランスクリプトーム,分裂,突出部位,縦分裂,珍無腸動物門,左右相称動物,交尾器,繁殖様式,有性生殖,体内受精,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18239,北海道大学,森川 正章,「水生植物-表層共生細菌相互作用解析によるホロビオント共進化機構の解明」,土壌環境とは大きく異なり、分子が拡散しやすい水圏環境における、宿主植物と表層共生細菌の特有の相利共生と共進化の世界を探る。具体的には、ウキクサ亜科植物を対象として、共生細菌が生産する水生植物成長促進因子とその生合成遺伝子群の構造ー機能相関について、微生物学的研究と植物生理学的研究の両面から総合的に取り組む。さらに、これまでに構築した、無菌ウキクサをプラットフォームとした複数種共生細菌の協調あるいは拮抗と、宿主植物の成長を定量的に測定するシステムを活用して、未開拓領域である水生植物微生物共生総体（ホロビオント）の生存戦略の一端を分子レベルで理解し、生物共進化の新たな側面に光を当てる。,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,ホロビオント,共生,ウキクサ,植物成長促進細菌,相互作用分子機構,共生微生物,表層細菌,相利共生,植物成長促進因子,共進化,植物ー微生物共生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18370,琉球大学,山平 寿智,種間交雑に起源するミトコンドリアの新たな共生関係の進化,申請者らは近年，古代の種間交雑に起源するヘテロプラズミーを，スラウェシ島の古代湖に生息するメダカで発見した．予備解析の結果，異種由来のミトコンドリアは新たな宿主の中で独自に進化しており，コーディング遺伝子の読み枠は正常で，かつ塩基置換の多くが非同義であることがわかった．本研究では，この異種由来のミトコンドリアがどのように宿主による排除機構の網をかいくぐり，独自の機能を獲得して新たな共生関係を築き上げてきたかを解明する．,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,ミトコンドリア,ヘテロプラズミー,メダカ,共生,種間交雑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18369,東京大学,佐藤 克文,海洋動物の地磁気ナビゲーション：多様な動物が行う規則的な旋回行動の機能解明,過去には地磁気・嗅覚・視覚に関する個別の研究がなされ、動物にそれらの知覚能力があることは立証されている。本研究課題は、地磁気ナビゲーションに着目し、野外における実態を明らかにしようとするものである。,挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,バイオロギング,ウミガメ,魚類,野外調査,ペンギン,ヒラマサ,ホシエイ,オオミズナギドリ,外洋性魚類,データロガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18368,筑波大学,UTADA ANDREW,'Cradle to the grave' life histories of every bacterium link individual metabolic activity to population activity,"A new theory of microbial population activity is needed to further our understanding of population dynamics and heterogeneity. In order to do this, we will lay the groundwork for this new theory by coherently combining heretofore separate domains: (i) single-cell tracking of bacteria using high spatio-temporal resolution imaging in time and in space; and (ii) NanoSIMS, which reveals anabolic activity at the single-cell level by imaging stable isotopes.",挑戦的研究(開拓),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,heterogeneity,metabolism,NanoSIMS,Single-cell tracking,Metaboloic activitity,Bacteria,Heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
