awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K23377,,米原 圭祐,軸索末端シナプス特異的な視覚情報処理の発達メカニズム,視覚的な動きの検出は重要な視覚機能であり、餌や天敵の検知や自己運動の知覚などに重要である。本研究では代表者が最近独自に発見した網膜双極細胞の軸索末端シナプスの方向選択性がいつどのように発達するのかを明らかにする。このために、二光子イメージングによる神経伝達物質放出の記録、ウイルスベクターによる細胞タイプ特異的遺伝子導入、遺伝学的手法による細胞活動抑制や細胞除去、および機械学習によるデータ解析を組み合わせる。この研究によって、神経回路による感覚特徴抽出の戦略とその基盤となる発達機構が明らかになり、複雑かつ精緻な哺乳類中枢神経回路の機能発達の基本原理の生理学に基づいた観点からの理解が進む。,国際共同研究加速基金(帰国発展研究),生物学,網膜,双極細胞,方向選択性,神経回路発達,二光子イメージング,視覚情報処理,網膜双極細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K21349,,大友 崇紀,オートファゴソーム膜拡張現象の試験管内再構成と構造的理解,,国際共同研究加速基金(帰国発展研究),生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K21348,,関根 悠介,細胞内代謝変動に対する核小体ストレス応答制御機構の解明,,国際共同研究加速基金(帰国発展研究),生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K21347,,関根 史織,細胞内ヘムホメオスタシス維持とミトコンドリアストレス応答のクロストーク,,国際共同研究加速基金(帰国発展研究),生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K21346,,藤田 盛久,リソソーム・エキソサイトーシスによる短鎖糖タンパク質の生成、露出機構の解明,リソソームは細胞内外で不要となった生体高分子の分解を行う細胞内小器官である。近年、リソソーム自体が直接、細胞膜と融合する機構「リソソーム・エキソサイトーシス」が様々な生命現象で見られる事が知られ、動的なリソソームの役割が明らかになりつつある。一方、多くの癌細胞では通常の生合成経路では形成されない短鎖N結合型(パウチマンノース)糖鎖の量が増加し、細胞表面や分泌タンパク質上の糖鎖にも検出される。本研究では、リソソーム・エキソサイトーシスを制御する因子の同定を行うとともに、短鎖N結合型糖鎖の生成機構と細胞表面へ露出する意義について遺伝学的、生化学的および細胞生物学的手法を用いて解析を行う。,国際共同研究加速基金(帰国発展研究),生物学,N結合型糖鎖,リソソーム,パウチマンノース,エキソサイトーシス,糖加水分解酵素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21365,,鈴木 基高,脳における並列投射の謎を解明する,,国際共同研究加速基金(帰国発展研究),生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21364,,藤原 輝史,適応的な運動制御の神経基盤の解明,私たちは日常、何気なく腕を伸ばしてコップを手に取ったりしますが、こうした単純な動作にも複雑な脳の計算が必要で、自分が動くと何が起きるのか将来を予測する仕組みが必要だと考えられています。実際に予測能力に問題が生じると基本的な運動に支障がでてきます。脳の仕組みの解明は喫緊の課題ですが、私たちの脳はあまりに複雑で調べるのが困難です。一方で、小さな昆虫でも大変器用に体を動かしており、圧倒的にコンパクトな彼らの脳にも複雑な計算のエッセンスが詰まっているはずです。本研究ではモデル昆虫のショウジョウバエを用いて最先端の遺伝学や工学技術を駆使し、脳の予測能力の仕組みをかつてなく詳細なレベルで解明します。,国際共同研究加速基金(帰国発展研究),生物学,運動制御,適応学習,フォワードモデル,神経生理,ショウジョウバエ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21363,,吉田 富,巧緻運動(手先の細かい動き)に関わる脳―脊髄神経回路群の同定とその制御機構の解明,我々は、日々の活動に非常に細い指の動きを必要としており、そうした動きは巧緻運動と呼ばれている。哺乳類の巧緻運動の制御には、脳から脊髄に情報を伝えるには複数の神経系ネットワークが存在し、それらは最終的に様々な筋活動を誘導している。本研究では、複数の下行性神経回路の脊髄神経回路への詳細な結合様式を解明し、巧緻運動におけるそれらの機能を明らかにする。運動回路の再構築や修復を実現するためには、正常な状態での運動回路の形態と機能を明らかにする必要がある。 従って、下行性神経回路による巧緻運動制御のメカニズムを明らかにする事は、運動障害の新しい治療法の開発を促進するものと考えられる。,国際共同研究加速基金(帰国発展研究),生物学,巧緻運動,神経回路,脳,脊髄,運動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20050,,福島 健児,食虫植物から探る消化器官の初期進化,消化器官は、様々な多細胞生物が普遍的に有する器官でありながら、その初期進化は謎に包まれている。本研究では、動物とは独立かつ比較的新しく消化器官を獲得した食虫植物を研究材料として、その進化過程を明らかにする。収斂的に何度も出現している食虫植物に着目することで、(1)消化器官が異なる進化段階にある種のゲノム情報を比較可能、(2)ホモログ器官を用いて消化器官の初期進化を再現した実験が可能、(3)消化器官成立に寄与した細胞・遺伝子を追跡可能、などの利点を活用できる。本研究では、分子進化学・ゲノム生物学・植物分子生物学を統合したアプローチによって、消化器官の初期進化に関与した遺伝的変化を明らかにする。,国際共同研究加速基金(帰国発展研究),生物学,食虫植物,進化,消化器官,ゲノム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20049,,高橋 悠太,エピジェネティック情報の次世代への継承メカニズムの解明,申請者は、標的プロモーターがメチル化されたDNAメチル化編集マウスにおいて、誘導したDNAメチル化と代謝異常の表現型は、親の生殖系列を介し、子孫に安定的に伝えられることを見出していた。またその過程で、継承されうるDNAメチル化自体は、親の生殖系列で一度消去されていた。その結果は、何らかのエピジェネティックメモリーが継承され、それが次世代でメチル化を誘導していることを示唆している。我々は、そのエピジェネティックメモリーの実体を解明することによって、DNAメチル化が世代を超えて受け継がれるメカニズムの解明の達成を目指す。,国際共同研究加速基金(帰国発展研究),生物学,世代間エピジェネティック継承,DNAメチル化,DNAメチル化編集技術,DNAメチル化編集マウス,CpGアイランド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
