awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18807,総合研究大学院大学,蟻川 謙太郎,チョウ類視覚第一次中枢における色情報と偏光情報の関係について,"The eye of a butterfly Papilio consists of randomly distributed three spectrally distinct types of ommatidia. Each ommatidium contains nine photoreceptors (PRs) cells, which form a module called cartridge in the lamina with four second-order lamina monopolar cells (LMCs). In the cartridge, PRs of distinct spectral sensitivities are connected via histamine-gated chloride channels, forming characteristic spectral opponency. Some PRs and LMCs have long side branches penetrating neighboring cartridges, indicating possible spatial interaction. Here we aimed at demonstrating the spatio-spectral opponency in the Papilio lamina by intracellular electrophysiology, anatomy, and modeling. We could record spectral sensitivities of PRs from many (typically 50) different angles and indeed found that off-axis stimulations altered the sensitivity profile, indicating the spatio-spectral opponency. We made a computational model to analyze the responses, which supported our hypothesis of synaptic interaction underlying the complicated opponency. This model will be extended to estimate the function of interommatidial connections that produce spatial opponency in PRs and LMCs.",特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,insect,color vision,photoreceptor,lamina,lamina monopolar cell,spectral opponency,spatial opponency,modelling,Intracellular recording,Insect,Vision,Lamina,Spectral sensitivity,Spectral opponency,Papilio xuthus,Modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J40017,甲南大学,太田 茜,動物の低温馴化における新規全身型サーキュラー神経回路の光遺伝学解析,環境応答を司る神経回路のメカニズムの解明は生命科学の重要なトピックである。申請者らは、頭部温度受容ニューロンが尻尾の介在ニューロンに接続し、それが再度頭部ニューロンに情報フィードバックを行うという、新規の神経回路が温度馴化制御に関わることを見出した。本研究では、線虫の温度応答に関わるシンプルな神経回路をつかい、温度記憶を伴う温度馴化現象を分子生物学、光技術、数物理解析を組合せ多面的に明らかにする。,特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,C. elegans,腸,温度順化,CREB,カルシウムイメージング,光駆動性チャネル,線虫,転写因子,温度馴化,神経回路,イネキシン,温度記憶,神経回路機構,温度応答,低温耐性,低温馴化,全身周回性,光遺伝学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22074,東京大学,昆 一弘,Cav3．2リン酸化修飾経路の同定・摂動による入眠行動の分子基盤探求,入眠とは覚醒から睡眠という行動学・生理学的に相互排他的な状態変化を担う行動であり、その制御は個体の適切な睡眠覚醒のために必要不可欠である。本研究では、入眠に重要な分子であるCav3.2の大規模機能解析系と質量分析によるリン酸化解析からCav3.2リン酸化修飾経路を同定し、その経路を摂動した遺伝子改変マウスの作製およびその睡眠表現型解析から、Cav3.2のリン酸化修飾による機能制御が入眠過程に重要であるという仮説を検証することを目的とする。,特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,睡眠,リン酸化,カルシウムチャネル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21828,東京大学,富原 壮真,繁殖期特異的に性行動を賦活する脳内神経回路の解明,多くの動物は、環境に応じた動物固有の「繁殖期」を持ち、生殖腺の発達するこの時期に合わせて性行動を行うことで 効率的に繁殖を成功に導く。しかし、なぜ繁殖期にのみ性行動が行われるのか、その調節のしくみは明らかになっていない。これまで、繁殖期と非繁殖期の生理状態を人為的に切り替えることが出来るメダカを用いた解析を行ってきた。その結果、繁殖期のメスの卵巣から分泌される性ステロイドホルモンを受容した脳内の神経細胞が、メス特有の性行動を引き起こすことを示唆する知見を得た。本研究では、このような神経細胞が形成する神経回路を探索し、繁殖期特異的にメスの性行動を引き起こすしくみを明らかにする。,特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,メダカ,性行動,繁殖期,初期応答遺伝子,レーザーマイクロダイセクション,RNA-Seq,GABA作動性ニューロン,エストロジェン,性ステロイドホルモン,行動解析,ゲノム編集メダカ,シングルコンピューターボード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15425,名古屋大学,宮崎 杜夫,コリン作動性神経の睡眠覚醒調節および記憶への生理機能の解明,記憶には大脳皮質と大脳辺縁系の海馬が重要であることが分かっている。一方、睡眠が記憶の貯蔵や忘却に関わっていると考えられているが、そのメカニズムはよく分かっていない。海馬に投射している主な神経細胞には、前脳基底部の内側中隔や垂直対角帯のコリン作動性神経が含まれる。これまでに、研究代表者は、コリン作動性神経の活動記録に成功し、これらの神経が覚醒とレム睡眠時において活動していることを突き止めているため、レム睡眠時に海馬で何らかの役割を有していることが想定された。そこで、ファイバーレス光遺伝学を用いて、このコリン作動性神経の活動を覚醒時もしくはレム睡眠時特異的に操作し、記憶への関与を明らかにする。,特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,光遺伝学,コリン作動性神経,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15030,東京大学,滝澤 舞,生細胞イメージング解析によるアストロサイトの神経保護機構の解明,損傷した神経細胞周辺ではアルギニンバソプレシン（AVP）濃度の上昇が報告されている。AVP受容体の機能は、アポトーシス抑制や脳浮腫の形成など多岐に渡るが、いつ、どのような経路を介して調節されているのか、その詳細は未解明である。そこで本研究では、アストロサイトに発現しているAVP受容体に着目し、生細胞イメージング技術を適用することで、アストロサイト内で変化するシグナル分子およびグリア伝達物質の分泌反応の挙動を明らかにし、神経損傷に即座に応答するアストロサイトの活性化機構の解明を目指す。,特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,アストロサイト,バソプレシン受容体,ライブセルイメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13188,東京大学,小野 宏晃,レム睡眠制御を担う細胞内情報伝達分子機構の同定と解析,本研究は、ムスカリン型アセチルコリン受容体（M1とM3）の分子プロパティがレム睡眠を制御するという仮説を検証するものである。そのために、機能改変型M1・M3をスクリーニングし、個体内に機能改変型M1・M3を導入することで、分子プロパティと睡眠表現型との因果関係を個体レベルで示す。,特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,睡眠覚醒現象,リン酸酵素,睡眠,覚醒,ムスカリン型アセチルコリン受容体,GPCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12202,筑波大学,Lee ChiaーYing,恐怖による体温変化を制御する神経基盤の解明,"Innate fear induces not only behavioral responses such as freezing, but also the physiological  conditions such as body temperature, yet the neural pathway is still unknown. In this research I am going to reveal the critical brain region regulating the emotion induced hypothermia.",特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10862,北海道大学,佐藤 和,昆虫における複数の刺激情報統合に基づく行動選択の神経機構の解明,逃避行動は動物の生存に不可欠な行動であり、脊椎・無脊椎動物を含む動物で普遍的かつ生得的に備わっている。逃避行動において多くの動物が複数の戦略を用いる一方で、危機刺激に基づいて適切な戦略を選択する生得的な神経基盤は不明である。本研究ではコオロギの気流誘導性逃避行動である跳躍と歩行に注目し、この神経基盤の解明を目指す。詳細な行動解析と、電気生理学的手法を用いた行動時の神経活動計測を行うことで、歩行または跳躍が刺激パラメータに基づいて決定される神経メカニズムを明らかにする。,特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,意志決定,逃避行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10052,甲南大学,大西 康平,新規サーモセンサーＧＰＣＲの同定とサーモジェネティクスへの利用,C. elegansの低温耐性現象を指標に解析を行い、新規GPCR型温度受容体を同定したのちに、得られた候補GPCR遺伝子が本当に温度センサーとして機能するかを電気生理学的に証明する。そして、単離されたGPCRの構造解析を行い、温度受容の分子機構の解明を目指す。また、GPCRが温度に応答し、その温度応答域が非常に狭い温度域の場合は、ヒト神経細胞の温度操作をおこなうサーモシジェネティクスへの応用が可能であるかを検証する。,特別研究員奨励費,小区分44050:動物生理化学、生理学および行動学関連,線虫,C. elegans,低温耐性,TRP,GPCR,温度受容,Temperature,Cold tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
