awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18386,沖縄科学技術大学院大学,佐瀬 英俊,自然環境下でのマングローブのゲノム・エピゲノム解析,"Mangrove communities show high adaptability to harsh coastal condition that makes them a valuable resource and model for studying the molecular mechanisms behind stress tolerance and adaptation to harsh environments. Using a comprehensive analysis of genome-wide gene expression and methylation profiles we investigated if epigenetic variations contribute to help these resistant trees cope with their harsh habitats. We first produced a high-quality reference genome for a representative mangrove species Bruguiera gymnorhiza using the combination of long read sequencing technology (PACBIO) supplemented by the more conventional platforms (Illumina Hi-seq and matepair). We then investigated how methylation variation is distributed among individuals from different habitats in different level of stress, and how this variation is correlated with their morphological differences and gene expression. We also performed RNA-seq analysis and gene expression analyses for the same populations and investigated the association of transcriptome and methylation among these samples. High-quality reference genome sequences built in this project offers new insights into the (epi)genome dynamics of these important plants and provide a basis for future studies, not only in mangrove but also in other tree species.",特別研究員奨励費,小区分45040:生態学および環境学関連,Plant,Epigentics,Environment,Epigenetics,Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18383,東京海洋大学,Strussmann C.A.,魚類の世代間エピジェネティック継承と子孫の環境適応に及ぼす親世代の経験環境の影響,本研究では、将来的な温暖化を見据えた高水温（34～38℃）および平常時の水温（27℃）下で、メダカ親魚を4週間飼育した後、再び平常水温に戻し繁殖させ、高温経験が親世代の繁殖力と各種繁殖パラメータおよび次世代（F1）の発生速度や形態に及ぼす影響、さらに、その影響の世代間伝達に関する遺伝的解析を行った。高水温の38℃区の供試魚は大量へい死したが、34～36℃区では生残個体が多かった。高水温暴露試験中には産卵が確認されなかったが、再び平常水温飼育に切り替えた後には高水温曝露された試験区の親魚の方が、対照区の親魚と比較して産卵頻度が高く、産卵数や卵の授精率が高かった。なお、卵径やふ化率には、親魚への高水温の影響は確認されなかった。F1個体では、繁殖直前に親魚が経験した水温が高いほど胚発生が速く、孵化仔魚の体長が大きかった。さらに、高水温を経験した親魚から生まれた個体は体が短く、丸みを帯びた体型であった。本研究で確認されたそれらの次世代の表現型の変化は、異なる水温環境（ストレス環境）を経験した親世代からの世代間エピジェネティック制御機構が齎した結果と推測され、本研究の結果から、親魚の経験した環境ストレス（今回の場合は高水温）は、短期間の暴露でも次世代個体の表現型に大きな影響を及ぼすことが示された。また本研究では、異なる水温条件で飼育した親個体の生殖腺を摘出し、環境ストレス起因で発生する突然変誘発機構に関連するY-family polymerase遺伝子群のeta、iota、rev1およびrev3遺伝子の発現プロファイルを調べた。その結果、親魚が経験した水温環境の違いによって本遺伝子群の発現量が異なる傾向が確認され、親魚の経験した環境ストレスが引き起こす、遺伝子の発現機構の変異（ひいては表現型の変異）には、Y-family polymerase遺伝子群も関係している可能性が示唆された。,特別研究員奨励費,小区分45040:生態学および環境学関連,地球温暖化,気候変動,環境適応能力,エピジェネティック制御,次世代フィットネス,生物多様性,水産資源保全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J40100,東京大学,香月 雅子,性選択による形態の特殊化と複合的進化の解明,「いかにして特定の器官を大きく発達させつつ、全身で協調的な形態発生を行っているのか」という学術的課題に対し、オスの後脚と前脚がそれぞれ肥大化したフェモラータオオモモブトハムシとテナガショウジョウバエの２種を用い、,特別研究員奨励費,小区分45040:生態学および環境学関連,武器形質,誇張形質,RNAi,甲虫,付属肢,性選択,性的二型,画像解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J40026,京都大学,岡野 淳一,造巣性トビケラにおける巣材選択多型の維持メカニズムの解明,川砂で巣を作るフトヒゲトビケラには、巣材選好性において3型の多型（スペシャリスト、ジェネラリスト、中間型）があり、多型の幅には地域的な変異が認められる。本研究は、型間の「優劣関係の入れ替わり」と「成長速度と共食いリスクのトレードオフ」によって、多型が維持されるという説を検証する。,特別研究員奨励費,小区分45040:生態学および環境学関連,トビケラ,巣作り行動,共食い,表現型多型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23130,京都大学,福家 悠介,ミャンマーの古代湖における淡水魚類の起源と進化から探る生物多様性の創出機構,本研究はミャンマーの古代湖・インレー湖周辺域における生物多様性の創出機構の解明を目的としている。本地域で特に多様性の高い淡水魚類に注目し、2つのアプローチから目的の達成を試みる。1)インレー湖固有種について網羅的な分子系統解析および分岐年代推定を行い、本地域における魚類相形成プロセスの概観を明らかにする。2)本地域で特に多様化しているコイ科魚類について、適応進化と種分化に注目して固有種の創出機構を明らかにする。,特別研究員奨励費,小区分45040:生態学および環境学関連,生物相形成,古代湖,淡水魚,ミャンマー,MIG-seq,集団構造,インレー湖,Inle Lake,mitochondrial genome,phylogeny,endemic species,biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22686,琉球大学,小林 大純,遺伝的同化理論を考慮した洞窟性魚類の適応進化機構の解明,近年遺伝的同化が進化に果たした役割が再認識されつつあるが，これを野外で分子基盤を解明した研究はない．申請者の研究で，カワアナゴ科魚類には地上と洞窟の両環境に応じて表現型を変化させる種が存在し洞窟性種の進化に表現系可塑性が関与した可能性が示唆された．本研究では，本科魚類における遺伝的同化仮説を検証するため，まず本科各種の全ゲノム配列を決定し種系統樹を解明する．次に本科各種の表現型可塑性の程度を共通環境実験によって評価し可塑性の進化過程について考察する．さらに発現変動遺伝子解析を行い可塑性の進化の分子基盤を解明する．また適応形質の祖先形質推定を行い，洞窟性種の進化史における前適応の要否を検討する．,特別研究員奨励費,小区分45040:生態学および環境学関連,適応,ノコギリハゼ科,カワアナゴ科,系統,洞窟,ハゼ目,両側回遊,洞窟性生物,ゲノミクス,退化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22242,京都大学,井戸川 直人,アリ類におけるコロニーの分裂制御システムの解明,社会性昆虫においては、巣の構成個体のうちの一部が集団で移動し、新巣を形成する「分巣」という巣レベルの繁殖様式がみられ、生活史理論や社会進化，群知能などの観点から注目されている。本研究の目的は、アリ類を用いて、超個体レベルの自己複製である分巣システムを定量的に記述するとともに、そのプロセスとパターンを解明することである。そのために、単為生殖によりコロニーを遺伝的に均一な超個体とみなすことができるヒメアリ類を用いて、室内実験と野外調査の両面から分巣現象の実態に迫る。,特別研究員奨励費,小区分45040:生態学および環境学関連,単為生殖,社会性昆虫,ヒメアリ,RAD-seq,カースト二型,幼虫,系統解析,ミトコンドリアゲノム,行動解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22000,京都大学,湯本 原樹,標高適応と季節的可塑性における葉の温度適応メカニズムの解明,葉の展葉スケジュールと対ストレス性は植物の成長を決定する主要因である。標高勾配では、生育環境の温度差に応じて、葉の形質に遺伝的分化が見られる。一方、季節環境の中で夏と冬との温度差に応じて異なる性質の葉を形成する。本研究では常緑性草本ハクサンハタザオの葉の標高適応と季節的可塑性を対象に以下の３つの項目で研究を行う。1．標高適応の基盤となるゲノム領域を明らかにする。2. 葉の季節的可塑性の詳細を明らかにするとともにその分子メカニズムを明らかにする。3. 遺伝的同化（表現型可塑性で表れる特定の表現型が遺伝的に固定される過程）の有無を検証する。,特別研究員奨励費,小区分45040:生態学および環境学関連,季節的な表現型可塑性,葉寿命,標高適応,低温耐性,生活史,RNA-seq,転流,老化,季節性,表現型可塑性,標高生態型,葉機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21686,九州大学,堀田 淳之介,生理学的機構を考慮した代替生活史意思決定モデル構築とその個体群への波及効果の解析,本研究では、ホルモンと行動がフィードバックすることで生活史選択がどのように方向付けられるかを明らかにする。研究対象であるサクラマスは河川で成熟する残留型と海に下る降海型の二つの生活史を持つ。成熟による形態・行動の変化にはホルモンが関与しており、残留型の成熟にはテストステロンなどの成熟因子群が大きく関わっている。１年目は個体間の闘争による勝敗の経験がホルモンの産生量を変化させ、稚魚が降海、残留の意思決定を行うことをモデル化する。ホルモン応答の強度によって、意思決定がどのように変化するのかを解析する。２年目以降はホルモンの合成経路を考慮し、より精緻なモデルを構築することで定量的な解析を進める。,特別研究員奨励費,小区分45040:生態学および環境学関連,動物生活史,ホルモン,意思決定,生理動態モデル,順位制,個体間相互作用,winner-loser effect,生活史意思決定,代替生活史戦術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21533,東京大学,加藤 颯人,ベイツ型擬態の理論モデルの統合および時空間変動データによるモデル検証,毒をもたない種が毒を持つ種に姿を似せることで、捕食者をだまし、捕食を回避する例が多数知られている。この現象はベイツ型擬態と呼ばれており、進化の代表例として生物学的に重要である。しかしながら、ベイツ型擬態において有毒種と無毒種がどのような条件下で安定的に共存できるのかについては、不明な点も多い。そこで本研究では、ベイツ型擬態における共存メカニズムを、数理モデルを用いて明らかにすることを目指す。具体的には、ベイツ型擬態の地理的変異や季節変動パターンといった現象に着目し、数理モデルを用いた理論的予測と野外実証データによる予測の検証を行う。,特別研究員奨励費,小区分45040:生態学および環境学関連,対捕食者戦略,ベイツ型擬態,遺伝的多型,季節性,数理モデル,地理的変異,種内多型,生活史戦略,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
