awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02052,防衛大学校(総合教育学群、人文社会科学群、応用科学群、電気情報学群及びシステム工学群),林 正太郎,固体発光を示す高柔軟性有機結晶の創生と自在な発光ウェーブガイドの構築,様々なπ共役系分子からなるエラスティック分子結晶の開発を行った。また、その柔軟性や発光機能を調査し、ウェーブガイド研究へ展開した。高い平面性を実現するために、チオフェン骨格とフルオロアレーンの組み合わせから構成されるπ共役系分子を開発し、その結晶化によって弾性変形する発光性単結晶を得た。一方、このウェーブガイド特性を調べるために、レーザー照射位置とは別に、任意の点に対して蛍光スペクトル測定を行える空間分解蛍光スペクトルを作成した。真っ直ぐまたは曲がった分子結晶に対し、その距離（照射位置ー結晶端）とPL強度をプロットすることで減衰係数（ウェーブガイド性能）を算出した。,基盤研究(B),小区分35030:有機機能材料関連,分子結晶,エラスティック結晶,導波路,発光,ウェーブガイド,柔軟性分子結晶,弾力性,共役系分子,フレキシブルクリスタル,有機結晶,π共役系分子,配向性,結晶,第一原理計算,柔軟性結晶材料,光学ウェーブガイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02051,関西学院大学,畠山 琢次,多重共鳴効果を利用した次世代有機EL材料の開発,これまでに，ホウ素と窒素の「多重共鳴効果」により，励起一重項状態と励起三重項状態のエネルギー差の縮小と励起状態における構造変化の抑制に成功し，高色純度青色発光と90%を超える蛍光量子効率を示す熱活性型遅延蛍光（TADF）材料の開発に成功している。本研究では，この設計指針の下，無機発光材料に匹敵する超狭帯域青色発光を示す「new-DABNA」，高色純度緑色TADF材料として「OAB-ABP-1」および「CzB2-M/P」の開発に成功した。いずれの材料も20-35%の高い外部量子効率を示すことから，近い将来の実用化が期待できる。,基盤研究(B),小区分35030:有機機能材料関連,有機合成,有機EL,熱活性化遅延蛍光,多重共鳴効果,有機導体,熱活性化遅延蛍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02050,立教大学,森本 正和,ポリマーメカノケミストリーにおける結合切断点ナノ可視化技術の構築,ポリマーメカノケミストリーにおける高分子鎖結合切断点の可視化のためのプローブ分子を創出することを目指した。結合切断点プローブの設計基盤となり得るフォトクロミック分子について、耐光性や光反応量子収率に対する置換基効果を明らかにした。フォトクロミック分子骨格を含む高分子化合物を合成し、高分子化合物においてもフォトクロミック分子は分子骨格単独の場合と同様の光応答特性を示すことを確認し、高分子化合物のメカノケミカル反応について検討した。,基盤研究(B),小区分35030:有機機能材料関連,メカノケミストリー,高分子,力学特性,フォトクロミズム,蛍光,光スイッチ,ジアリールエテン,超解像蛍光顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02049,九州大学,嘉部 量太,電荷蓄積機構を用いた高効率有機蓄光システムの構築,有機蓄光システムは電子ドナーと電子アクセプターから構成される、レアメタルを含まない蓄光材料であり、柔軟性や持続可能性といった観点で既存の無機蓄光には無い特色を持つ。しかし、その効率は無機蓄光の1／100以下である。,基盤研究(B),小区分35030:有機機能材料関連,蓄光,電荷分離,フォトルミネッセンス,エキシトン,有機半導体,有機蓄光,電荷移動,有機EL,電荷再結合,電子移動,励起状態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02048,九州大学,安田 琢麿,三次元メゾ空間組織制御に立脚した革新的光機能分子システムの構築,本研究では、発光分子を取り巻くメゾスケールの空間組織制御や電子状態制御に基づき、従来の孤立分散系では実現できない特異な光機能を発現する発光分子システムの構築を進めた。本質的に濃度消光しない熱活性化遅延蛍光（TADF）材料系を基盤として、スピン多重度変化を伴う逆項間交差や励起エネルギー移動などの種々の光物理プロセスの効率化を達成するとともに、刺激応答性TADF発光などの新たな発光機能を開拓した。これらの成果は、真に高効率な有機ELの開発など幅広い応用に寄与することが期待される。,基盤研究(B),小区分35030:有機機能材料関連,発光,有機エレクトロニクス,有機半導体,デバイス,メゾ空間,光機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02047,九州大学,中野谷 一,励起子生成効率200%を示す近赤外有機EL素子の創成,本研究では、(1) 熱活性化遅延蛍光（TADF）過程の利用、(2) 一重項励起子開裂（SF）過程の二つの異なるスピン変換機構を融合することで、有機EL素子（OLED）における励起子生成効率の飛躍的な向上を目標とした。本研究期間中に、SF過程を示す分子をOLEDに組み込むことで、励起子生成効率が100%を超える世界初のSF型OLEDを実現した。また、TADF過程の基礎物理を、実験・理論の両側面から明らかにし、実用的なアプリケーションにも適用可能な高効率・高耐久性なNIR-OLEDの開発にも成功した。本研究課題を通し、「励起子生成効率200%を示すOLED」の実現可能性が得られた。,基盤研究(B),小区分35030:有機機能材料関連,有機EL,一重項励起子開裂,近赤外有機EL,熱活性化遅延蛍光,近赤外発光,一重項開裂,エネルギー移動,項間,近赤外光源,有機エレクトロルミネッセンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02046,電気通信大学,平田 修造,高次励起状態から発光する分子設計と光エネルギー材料への応用,一般的に励起状態は最低一重項励起状態(S1)や最低三重項励起子状態に関係する電子構造を変化させることで制御される。本研究では高次一重項励起状態(Sn)に関係する電子軌道を制御することによりナノ秒パルス下でのアップコンバージョン発光や長寿命室温りん光性能の改善を試みた。SnとS1の軌道分離によりSnからの蛍光を抽出することでナノ秒パルス下で大きな光アップコンバージョン強度を実現した。またSnと基底状態の間の遷移双極子モーメントを主に大きく増加する置換基を導入することにより高効率な長寿命室温りん光を示す重原子フリー分子を実現した。,基盤研究(B),小区分35030:有機機能材料関連,高次一重項励起状態,2光子吸収,光アップコンバージョン,室温りん光,長寿命室温りん光,蓄光,三重項励起状態,スピン軌道相互作用,Kasha則,非放射遷移,Kashaの法則,内部項間,分子軌道,高次励起状態,励起吸収,2段階励起,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02045,東京工業大学,小西 玄一,斬新かつ実用性を追求した凝集誘起発光色素の開発と有機材料および生命科学への応用,光を照射すると二重結合のまわりで大きな構造変化を起こすことが知られているスチルベンに注目し、二重結合のまわりを炭化水素鎖で縛った「橋かけスチルベン」をモデルとした凝集誘起発光（AIE）色素を設計した。計算から、橋かけ部位が 5 および 6 員環構造の場合（強く縛った場合）には、CI が高いため、化学反応は蛍光発光する経路を通るのに対し、7 員環構造の場合（ゆるやかに縛った場合）には CI が低いため、CI 付近を経由することから分子が失活し、蛍光を放射しないことが予測された。実際にそれぞれの構造の分子を合成し、光物理的性質を検討したところ、7 員環化合物（n=7）のみが、AIE 特性を示した。,基盤研究(B),小区分35030:有機機能材料関連,凝集誘起発光,蛍光,光物理過程,消光,無輻射失活,スチルベン,発光材料,センサー,蛍光色素,アントラセン,光機能材料,円錐交差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02044,東京工業大学,森 健彦,金属錯体など特異なπ電子系を組み込んだ有機トランジスタ材料の開発,"広範囲の酸化還元電位や非常に狭いバンドギャップを容易に実現できる金属錯体や二成分の電荷移動錯体などを用いて新コンセプトの有機トランジスタ材料の開発を行った。金属に配位する原子をNO, NN, NSと変えることによってp型からアンバイポーラ型のトランジスタを実現した。多くの電荷移動錯体がトランジスタ特性を示すことを検証し、ドナーとアクセプターの分子軌道が直交することによってn型の特性が出現しやすいことを明らかにした。拡張骨格やフッ素化アルキル基の導入によってビロダニン系n型有機トランジスタ材料の大気安定性の向上を実現した。",基盤研究(B),小区分35030:有機機能材料関連,有機トランジスタ,アンバイポーラトランジスタ,電荷移動錯体,有機半導体,有機伝導体,金属錯体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02043,群馬大学,山路 稔,光縮環法を駆使した有機超伝導・半導体創製から有機EL発光素子開発への展開,ベンゼン環が縮環した化合物を有機化学の手法で作成することは大変な手間と時間を必要とするが、光化学反応を用いると、簡単な有機合成手法で準備できる光反応前駆体から容易に作成可能である。本研究では多環芳香族化合物であるフェナセンを簡便かつ高効率に合成するために、フロー式の光反応装置を作成した。これを用いてベンゼン環数が少ないフェナントレン、クリセン、ピセンの誘導体を作成し、以降作成する高次フェナセン合成の基本ユニット分子を準備した。基本ユニットに官能基を付加することで新規のフェナセンを作成し、それらの光物理、電子デバイス特性の評価を行った。,基盤研究(B),小区分35030:有機機能材料関連,光環化反応,多環芳香族炭化水素,有機半導体性,有機超伝導性,固体発光,フェナセン,多環芳香族炭化水素化合物,有機半導体,有機超伝導体,有機EL発光素子,有機超伝導,OLED発光体,光縮環反応,マイクロフローリアクター,有機超電装,高発光効率分子,OLED,電界発光素子,有機ELケイ光体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
