awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02023,神奈川大学,横澤 勉,2つの異種カップリング反応を用いる両末端官能基化されたπ共役系高分子の選択的合成,本研究ではリビング重合と同様な挙動を示す Grignard モノマーの触媒移動型熊田・玉尾カップリング重合後に官能基耐性が高く、入手容易、または合成・単離できる多種類のボロン酸エステル試薬を加えて、種々の末端官能基を両末端に持つπ共役系高分子を one pot で選択的に合成する手法の開発を目的とした。その結果、N-ヘテロカルベン配位子の Pd 触媒を用いると、目的とする重合と末端官能基化が進行した。また、片末端ボロン酸エステル化されたポリ(メチルメタクリレート)（PMMA）を用いると、PMMA－ポリチオフェン－PMMAのトリブロック共重合体が得られた。,基盤研究(B),小区分35010:高分子化学関連,π共役系高分子,末端官能基化,カップリング反応,触媒移動重合,熊田カップリング,鈴木カップリング,熊田カップリング重合,高分子末端官能基化,ブロック共重合体,ポリチオフェン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02022,愛媛大学,林 実,構造多様なホスフィンブロックを主鎖構成要素とする新高機能性高分子材料の創成,P-Cクロスカップリング重合を用いた多種多様な構造を組み込んだ有機ホスフィン-有機/無機高分子ハイブリッドポリマーの合成手法を確立した。合成したハイブリッドポリマーの錯形成によって、水溶性高分子触媒や自己修復能を有する新規材料の開発を行うことができた他、P=Sポリマー-Pdサブナノ粒子触媒が特異な選択性を発現することを明らかにした。また、環状ホスフィン化合物の合成など、有機ホスフィン化学に関する多くの有用な知見が得られた。,基盤研究(B),小区分35010:高分子化学関連,ホスフィン,高分子,オリゴマー,機能性材料,ハイブリッド材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02021,愛媛大学,井原 栄治,ポリ(置換メチレン)における多彩な官能基の集積効果を活かした機能性高分子の開発,ジアゾ酢酸エステルの重合という研究代表者が独自に開発した高分子合成法により、主鎖のすべての炭素に置換基が結合した、炭素ー炭素結合を主鎖骨格とする高分子を合成することができる。この手法により得られる高分子の大きな特徴は、すべての炭素に結合した置換基が高分子主鎖の周囲に高密度に集積することである。本研究では、様々な官能基を置換基として有するジアゾ酢酸エステルを合成して重合し、それらの官能基の集積効果に基づく機能性高分子の合成を試みた。実際に、様々な官能基の集積効果に由来する特徴的な機能性や物性を有する高分子の合成に成功した。,基盤研究(B),小区分35010:高分子化学関連,ジアゾ酢酸エステル,ポリ（置換メチレン）,官能基集積効果,機能性高分子,パラジウム錯体,機能性子高分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02020,大阪大学,佐藤 尚弘,両親媒性ランダム・交互共重合体の花型ミセルが形成する高次秩序構造とその応用,両親媒性ランダム共重合体が水溶液中で形成する自己集合体（ランダム会合体、花型ミセル、フラワーネックレス）を特徴づける会合数、疎水性コア数、流体力学的半径等を、主鎖構造（ビニル系ポリマーと疎水化多糖）、親水基の化学構造、重合度、疎水基含量を系統的に変えて調査し、分子設計により両親媒性ランダム共重合体の自己集合体構造をある程度制御できるようになった。,基盤研究(B),小区分35010:高分子化学関連,両親媒性高分子,ランダム共重合体,交互共重合体,花型ミセル,フラワーネックレス,光散乱,小角X線散乱,蛍光寿命測定,高分子ミセル,花形ミセル,疎水化多糖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02019,名古屋大学,伊藤 英人,新奇縮環π共役高分子の精密合成と構造制御,本研究は、芳香環が２つ以上の結合で縮環して連なった高分子を「縮環π共役高分子」と定義し、これら物質群の創製と構造・機能制御を目指し、素反応の開発、新規触媒系の開発や重合反応への応用を目指します。本研究では、一度の素反応過程で２つ以上のC(sp2)-C(sp2)結合をいかに効率的かつ選択的に結合させるかが鍵です。そこで本研究では、これらを実現しうる縮環π拡張（APEX）反応と呼んでいるいくつかの新規反応・新規触媒系の構築に成功しました。この反応によって、縮環したπ共役分子を連続的に構築することが可能となり、ベンゼン環が複数連なった多環芳香族炭化水素やポリヘリセン類の効率的合成に成功しました。,基盤研究(B),小区分35010:高分子化学関連,縮環π拡張反応,ラダーポリマー,グラフェンナノリボン,ナノグラフェン,多環芳香族炭化水素,APEX,縮環π共役高分子,AEPX,π拡張化合物,縮環π拡張重合,リビング重合,多環芳香族化合物,APEX重合,縮環π共役,ラダー高分子,直接アリール化重合,APEX反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02018,東京工業大学,高田 十志和,可逆的な分岐ー線状高分子トポロジー変換可能なABCトリブロックコポリマーの創製,本研究では、高分子の連結点におけるロタキサンの機械的結合の動的構造特性の意義を明らかにするため、ロタキサン架橋高分子におけるメカノクロミック特性を示す官能基を組み込むことで、確かにロタキサン架橋が共有結合に加わる応力を緩和して結合の破断を抑制することを明らかにした。また、高分子のロタキサン連結を発展させ、ロタキサン連結高分子のトポロジー変換システムをブロック共重合体に適用した。そしてロタキサン連結点のスイッチがブロック共重合体のトポロジーを、そして組織化構造を変えうることを明らかにした。,基盤研究(B),小区分35010:高分子化学関連,トポロジー変換,ロタキサン,ブロックポリマー,トポロジー効果,ロタキサン架橋高分子,ブロック共重合体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02017,弘前大学,竹内 大介,パラジウム錯体触媒の二面性を利用したオレフィンとカチオン重合性モノマーの共重合,ブロック共重合体は、単独重合体やランダム共重合体とは異なる独特の性質を示す。同一の開始剤・触媒により複数のモノマーの重合を連続的に行うことで対応するブロック共重合体が得られるが、異なる反応機構により重合するモノマーからブロック共重合体を合成することは困難であった。本研究では、パラジウム触媒の特性を活かし、エチレンやオレフィン類の配位重合と、カチオン重合モノマーのカチオン重合を行うことによる、新しいブロック共重合体の合成法を開発した。さらに、オレフィン重合成長末端へのラジカル重合開始部位の簡便な導入法を開発し、ポリオレフィンとラジカル重合性モノマーとのブロック共重合体の合成を達成した。,基盤研究(B),小区分35010:高分子化学関連,ポリオレフィン,配位重合,カチオン重合,ラジカル重合,パラジウム触媒,ブロック共重合,ブロック共重合体,ポリエチレングリコール,二核錯体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02768,国立研究開発法人日本原子力研究開発機構,青木 裕之,気相分子によって駆動される高分子材料のダイナミクス,高分子薄膜の処理には、昇温による熱アニーリングと溶媒蒸気に暴露する溶媒アニーリングが行われる。高分子薄膜の構造および物性を制御するためには、アニーリング処理中に生じる構造・分子運動の変化を分子レベルで理解することが必要である。熱による高分子鎖のダイナミクスはこれまでに様々な手法で研究が行われてきたものの、気相から取り込んだ溶媒分子による可塑化によって誘起される高分子の動的特性はこれまでにほとんど明らかになっていない。本研究では、溶媒アニーリング時における高分子鎖の振る舞いを中性子反射率法および顕微鏡による直接観察法によって明らかにすることを目指している。,基盤研究(B),小区分35010:高分子化学関連,高分子薄膜,中性子反射率,分子運動性,超解像顕微鏡,分子運動,溶媒アニーリング,ダイナミクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02767,神奈川大学,金 仁華,エナンチオ選択性手法によるキラルシリカの合成及びキラル無機機能材料の開発,本研究では有機・高分子化学におけるエナンチオ選択的合成の概念を無機材料合成へ展開し、有機・高分子のキラル情報を無機構造体に転写するプロセスを経て、シリカを中心とした無機系キラルナノ材料精密制御の学問体系と基盤技術の確立に焦点を絞る。特に、シリカネットワーク中のSiO4四面体のねじれ向きを制御することによるアシンメトリーを発現させ、従来のゾルゲル化学では無視されたシリカの立体化学を学術的に明確にし、それをベースにした広範な無機系光学活性材料設計の指針を与え、未来材料におけるキラルシリカ、キラル酸化チタン、キラルゼオライト、キラル酸化物、キラル金属の応用展開の入り口を開く。,基盤研究(B),小区分35010:高分子化学関連,ポリエチレンイミン,キラル転写,キラルシリカ,キラルチタニア,円偏光発光,ラマン散乱増強,分子性キラリティ,不斉認識,キラルポリ（4-メチル-2-メチルオキサゾリン）,パラジウム担持キラルシリカ,C-Cカップリング反応,酒石酸・リンゴ酸,エナンチオマー選択重合,光学活性材料,エナンチオマー識別,キラルポリマー,自己組織化,ナノ構造材料,不斉ラーマン増幅,キラルナノ構造体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02766,九州大学,三浦 佳子,精密重合による糖鎖高分子医薬の開発と生体機能操作,RAFTリビングラジカル重合による、精密重合法を駆使して、精密なナノ構造と優れた分子認識能を持つ、生体機能性高分子、糖鎖高分子を創製する。合成高分子薬剤の可能性を明示することが目的である。リビングラジカル重合法を基礎とし、糖鎖高分子の分子認識能のデザインを行い、タンパク質、細胞の機能制御を行う。検討事項は（１）糖鎖高分子の精密設計による糖―タンパク質相互作用の制御、（２）糖鎖高分子の精密設計による免疫細胞の制御　とする。,基盤研究(B),小区分35010:高分子化学関連,糖鎖高分子,精密重合,De novo デザイン,分子認識,多価効果,免疫,自己組織化,生体機能性高分子,レクチン,シグレック,インフルエンザウイルス,PET－RAFT,リビングラジカル重合,PET-RAFT,高分子化学,RAFTリビングラジカル重合,光誘起電子移動重合,ナノメディシン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
