awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13451,東京理科大学,喜多 奈々緒,マトロイダル最適化理論の抜本的拡張,当該年度には，2019 年度より注力している，グラフのパリティ因子（T-ジョイン）の研究に取り組み成果を挙げた．グラフの最小パリティ因子問題は，多項式時間可解性の象徴として位置づけられる最大マッチング問題の亜種的一般化に相当する組合せ最適化問題である．最小パリティ因子問題は最大マッチング問題に比してはるかに高い記述力を持ちながらも代表的な多項式時間可解問題である．したがってパリティ因子は，マッチングを核とした多項式時間可解性の本質を明らかにする上で重要な対象である．,若手研究,小区分12030:数学基礎関連,離散数学,グラフ理論,組合せ最適化,標準分解,パリティ因子,T-ジョイン,配達夫問題,多項式時間可解性,アルゴリズム,グラフ,ネットワーク,離散最適化,マッチング理論,離散数理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13450,早稲田大学,藤原 誠,存在定理の一様計算可能性と構成的証明可能性,数学の定理の多くは「条件を満たす全てのXに対して，条件を満たす解Yが存在する」という形をしており，そのような何かしらの解の存在を主張する定理は「存在定理」と呼ばれる．,若手研究,小区分12030:数学基礎関連,計算可能数学,構成的逆数学,逆数学,直観主義算術,存在定理,相対的一様計算可能性,構成的数学,一様計算可能性,直観主義論理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13449,北里大学,古谷 倫貴,禁止グラフ条件間の差の特徴付けと，その手法の確立,本研究では，禁止グラフ条件が与える本質的な影響を見極めることを目的として，禁止グラフ条件同士の比較や，各種不変量との関係性について研究を行った．その結果として，不変量を対象とするラムゼー型問題を確立した．この問題は古典的なGyarfas-Sumner予想に強く関係しており，その類似問題の解決は同予想に新たな研究方針を与える．また，禁止グラフ条件の特性を見直すことで禁止グラフ条件を用いた複数の既存定理の統合にも成功している．更に，そのような研究から着想を得たことで支配数的不変量の統一化に至り，それを応用した既存研究の細密化を行うことができた．,若手研究,小区分12030:数学基礎関連,グラフ理論,禁止部分グラフ,ラムゼー型問題,支配数,道被覆数,次数因子,Gyarfas-Sumner予想,次数制約木,閉路被覆数,彩色数,内周,ハミルトン閉路,禁止グラフ,Erdos-Hajnal予想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13448,静岡大学,メヒア ディエゴ,反復強制法の理論における新たな発展,このプロジェクトでは、現代的な強制法の技法の開発や、実線の組合せ論の理解に貢献する結果を得ました。この成果は、13本の論文として発表され、12本は国際誌、6本は数学と論理学のトップジャーナルに掲載されました。最もインパクトのある成果は、新しい強制法の技術を駆使して、Cichonの最大という非常に深い問題を解決した。この研究は、オーストリアとイスラエルの研究者との積極的な共同研究の成果であり、ヨーロッパ数学会の雑誌を含むインパクトのあるジャーナルに多くの論文を発表するまでに発展した。,若手研究,小区分12030:数学基礎関連,強制法理論,反復強制法,Creature forcing,連続体上の組合せ論,超フィルター,多次元反復強制法,強測度ゼロ,Forcing Theory,Forcing Iterations,自然数上のイデアル,Strong Measure Zero,Real line,Creature Forcing,Bounded Arithmetic,Ultrafilters,Strong Measure Zero Sets,限定算術,連続体上の組合せ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14586,木更津工業高等専門学校,倉橋 太志,不完全性定理を通じた形式的証明可能性の研究,本研究は，第一不完全性定理，第二不完全性定理にそれぞれ対応する，(1) 形式的体系における決定不可能な文，(2) 形式的体系の証明可能性を表す論理式（証明可能性述語），という二つの対象の構造や性質の分析を主軸におき，形式的証明および形式的証明可能性の構造及び性質を解明することを試みるものである．,若手研究,小区分12030:数学基礎関連,数学基礎論,数理論理学,不完全性定理,様相論理,証明可能性論理,形式的算術,算術のモデル,形式的証明可能性,証明可能性,証明可能性述語,部分的な保存性,クリプキ意味論,決定不可能命題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14585,山梨大学,盧 暁南,組合せデザインの代数的構成法およびその検査計画問題への応用,本研究は，離散数学の一分野である組合デザイン理論において，特殊な代数的内部構造を持つ組合せ構造の存在性・構成問題を進展させ，これまでの研究を包含・拡張し，組合せデザインと関連する様々な構成法・代数的特徴付け・最適性などを研究対象とする．また，既知の組合せ構造とその構成法に対して，組合せ論的，代数的および幾何的性質の解明を通して，近年発展してきた検査計画という分野に適用することを目的とする．さらに，検査計画の理論研究を基に，大規模・複雑システムの開発に伴う，ソフトウェアテスト・ネットワークテストなどの応用研究において，より良いアルゴリズムの開発・改良が期待される．,若手研究,小区分12030:数学基礎関連,Combinatorial design,Combinatorial testing,Locating array,Orthogonal array,Steiner quadruple system,Fault location,Adaptive algorithm,Error-correcting code,適応型アルゴリズム,特定アルゴリズム,locating array,orthogonal array,誤り訂正符号,巡回準直交配列,error-correcting,組合せ探索問題,組合せデザイン,Steiner Quadruple System,組合せテスト,巡回符号,covering array,CAOA,Latin square,hypercube,combinatorial design,group testing,検査計画,組合せ配列,Steiner system,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14584,専修大学,土屋 翔一,fullerene graphについての研究,fullerene(フラーレン)とは，数十個の原子からなる構造を単位とする炭素の同素体である．fullereneは化学分野の研究対象だが，数学的にも興味深い性質を持つことが知られている．fullereneを数学的対象として扱うためfullerene graphが考案され，数学分野でも様々な研究が進められてきた．最近，申請者のこれまでの研究がfullerene graphの研究と関連があることがわかった．本研究では，申請者のこれまでの研究で得られた手法を改良してfullerene graphを扱うための新手法を提案し，その手法を用いてfullerene graphに関する新たな性質を解明する．,若手研究,小区分12030:数学基礎関連,fullerene graph,plane graph,HIST,HIT,Halin graph,contractible edge,グラフ理論,離散数学,Mathematical Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14583,慶應義塾大学,松本 直己,グラフの生成定理を用いた効率的なグラフ列挙アルゴリズムの構築,グラフの族に対し，「その族に含まれる有限個のグラフから，ある変形操作を繰り返し適用することによって，その族内の任意のグラフが得られる」という形の命題のことをグラフの生成定理と呼び，これまでに様々なグラフの族に対して，多くのバリエーションが研究されてきた．一方で，生成定理はグラフ列挙という観点で見たとき，1つのグラフを生成する過程が無数に存在し，多くの無駄を含む．その結果，上記の生成定理は，実用的に考えると一般には使い物にならない．したがって，本研究では，生成定理のバリエーションを増やすだけではなく，各過程でオペレーションの優先度を考慮した生成定理の創成を目指す．,若手研究,小区分12030:数学基礎関連,グラフ理論,生成定理,局所変形,アルゴリズム,三角形分割,局所連結グラフ,facial achromatic number,偶三角形分割,組合せゲーム,グラフ彩色,既約グラフ,列挙アルゴリズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14582,秋田大学,新屋 良磨,高階な言語の概普遍性判定問題の決定可能性の解析,高階言語はプログラムの正しさを検証する「モデル検査」と呼ばれる技術を中心に近年注目を集めている言語クラスであるが，未解明な基本的性質が多く残されている重要な研究対象である．,若手研究,小区分12030:数学基礎関連,形式言語,オートマトン,測度論,決定可能性,形式言語理論,正規言語,文脈自由言語,密度,可測性,概普遍性,制約オートマトン,有限モデル理論,高階言語,概普遍性判定問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K14354,明治大学,藤原 誠,直観主義数学の逆数学的解析,本研究は 20世紀初頭にオランダの位相幾何学者L.E.J.Brouwerが提唱した直観主義数学を現代的立場から再検討する数学基礎論の研究である．,若手研究,小区分12030:数学基礎関連,連続性,一様連続性定理,直観主義算術,論理公理,冠頭標準形定理,保存拡大性定理,構成的数学,逆数学,弱ケーニヒの補題,保存性定理,直観主義数学,決定可能ファン定理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K14353,成蹊大学,八島 高将,統一的な辺彩色因子理論の構築,"グラフとは頂点の集合Vとそれら頂点の対を両端点とする辺の集合Eからなる組G=(V,E)のことをいい，このグラフ上での性質や構造を分析する分野をグラフ理論という．",若手研究,小区分12030:数学基礎関連,グラフ,2 部グラフ,ハミルトン閉路,マッチング,次数条件,次数和条件,グラフ理論,極値問題,因子,木,辺彩色,虹,応用数学,離散数学,彩色問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K14352,北陸先端科学技術大学院大学,河井 達治,分配束に基づく位相空間論の創出とそのアルゴリズム的側面の解明,構成的数学の主眼は，構成的証明とプログラムの対応を通して，数学に内在するアルゴリズム的側面を解明することにある．しかし，構成的位相空間論の主要なアプローチであるpoint-free位相の構成的意味の解明は全く進んでいない．本研究では，申請者の直近の研究に基づく分配束による位相構造を拡張することにより，厳密な構成的立場から，広範囲の空間を表現できるようなpoint-free位相の概念を提案する．また，この位相概念を用いて，構成的解析学の主要な部分を位相的観点から再構築する．さらに，証明からのプログラムの抽出を通して，point-free位相空間論の存在証明に内在するアルゴリズムを明らかにする．,若手研究,小区分12030:数学基礎関連,構成的数学,位相空間論,point-freeトポロジー,コンパクト空間,不動点定理,一点コンパクト化,プログラム抽出,実現可能解釈,測度論,pointfreeトポロジー,分配束,point-free位相,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K13831,東京理科大学,野口 健太,部分的双対を軸とした三角形分割と四角形分割グラフの彩色の研究,本研究の目的達成のための主たる道具が「部分的双対」という概念である。これは閉曲面上のグラフにおける古典的かつ重要な概念「双対」を一般化したものである。本研究は、この概念を強力な道具の一つとして三角形分割グラフと四角形分割グラフの解析へ導入しようとするものである。部分的双対を軸として解析を行い、染色数を制御する局所的な条件の仮説を立て、それが正しいことを証明してゆくことが本研究の骨子となる。,若手研究,小区分12030:数学基礎関連,グラフ理論,グラフ彩色,三角形分割,四角形分割,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K13830,九州大学,顧 玉杰,,"Digital media plays a key role in our daily life. Protection against digital content copyright violation is an important but difficult challenge. The traitor tracing method provides an effective way to resist collusion attacks of illegal key redistribution for broadcast encryption. The objective of this project is to analyze and construct traitor tracing key assignment schemes using combinatorial methods, and to build efficient tracing algorithms by virtue of coding-theoretic techniques.",若手研究,小区分12030:数学基礎関連,secure code,list decoding,probabilistic method,dynamic traitor tracing,fingerprinting,copyright protection,traitor tracing,code rate,decoding algorithm,fingerprinting code,multimedia IPP code,collusion attack,dynamic tracing,Broadcast Encryption,Traitor Tracing,Key Assignment Scheme,Combinatorial Method,Identifying Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K13829,横浜国立大学,大野 由美子,位相幾何学的グラフ理論を用いたRyser予想の研究,グラフの主要な不変量として、最大マッチング数と最小頂点被覆数がある。グラフの最大マッチングを見つけるアルゴリズムにおいて、その最大性を判定する際にグラフの最小頂点被覆が用いられており、これらの関係性は非常に重要なものとなっている。最大マッチング数と最小頂点被覆数は、グラフを一般化したハイパーグラフにおいてもグラフ同様に定義でき、特にある条件を満たすハイパーグラフに対しては、それらの関係について「Ryser予想」と呼ばれる有名な予想が立てられている。この予想は長年解かれておらず、本研究では新たに位相幾何学的グラフ理論の知見を使うことで、Ryser予想の解決を目指す。,若手研究,小区分12030:数学基礎関連,位相幾何学的グラフ理論,Ryser予想,グラフ,ハイパーグラフ,グラフ彩色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K13828,東京工業大学,中村 誠希,ポジティブ関係計算とポジティブ存在論理の相互的研究,論理の決定可能性および計算複雑さの解析の問題は、Church-Turingによる一階述語論理の決定不能性の結果にはじまる。,若手研究,小区分12030:数学基礎関連,関係代数,有限モデル理論,数理論理学,計算困難さ,グラフ,オートマトン,関係計算,計算複雑さ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K13953,国立情報学研究所,安福 智明,Weyl群に関連する組合せゲームの解析,組合せゲームとは、囲碁や将棋などといった、完全情報を持ち、偶然の要素を含まない二人対戦ゲームのことをいう。組合せゲーム理論は、組合せゲームの戦略を数理的に解析するための数学理論を構築することを目的とした分野である。本研究では、特に申請者が独自に考案した連続フック引き抜きゲームというWeyl群と関連するゲームの解析を行う。このゲームは組合せ論や表現論など他の数学分野との関係を見出せる可能性を秘めているものである。この連続フック引き抜きゲームの分析を通して、他の数学分野への橋渡しを目的とする考察を行う。,若手研究,小区分12030:数学基礎関連,組合せゲーム,フック引き抜きゲーム,連続フック引き抜きゲーム,Weyl群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K13952,石川工業高等専門学校,吉江 佑介,量子ウオークの疑似周期性から抽出されるグラフ構造,本研究では量子ウォークの周期性を拡張させた疑似周期性について研究を行う。長時間的に限りなく周期に近い振る舞いを起こす事（長時間疑周期）や、確率を測った際に周期的になる事（確率疑周期）、特定の摂動を与えた時に周期的になる事（摂動疑周期）など様々な手法で周期性の概念を拡張し、それらについて考察する。更にその応用として未解決である量子探索の有効性を与えるグラフ構造の抽出を行う。,若手研究,小区分12030:数学基礎関連,量子ウォーク,量子探索,周期性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K13951,成蹊大学,賈 伊陽,計算折り紙の行列表現論及びその表現の圏論視点での研究,本研究課題では、計算折り紙の一般的な表現理論及びその表現の圏論視点での研究を行う。目的は次の二つである。一つ目の目的は、折り紙の各時点の状態及び状態遷移の両方を行列で表現する手法を提供し、それに基づき、計算折り紙の一般的な表現理論に発展させることである。二つ目の目的は、この表現理論を圏論視点から認識し、折り紙の表現が量子理論に関わるHilbert空間の圏とどのように繋がっているかを明らかにすることである。,若手研究,小区分12030:数学基礎関連,計算折り紙,圏論,平坦折り,層論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
