awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
23KK0120,京都大学,青柳 亮太,ボルネオ熱帯生産林における土壌・ 景観構造の劣化とレジリエンスの喪失,本応募研究では、ボルネオ島低地熱帯降雨林を対象に「大規模な撹乱によって熱帯林の維持に必要な菌類や動物との関係性が崩れることで、森林更新が長期的に損なわれる」という仮説を立て熱帯林の更新メカニズムの解明に挑む。近年発達してきた、調査技術を駆使し、これまで漠然と線形の軌跡をたどるとされてきた森林の植生回復には、土壌や景観構造の劣化という「二つの壁」が存在すること示す。具体的には、伐採に伴う土壌(課題1) と景観構造の劣化(課題2)が樹木の生理生態、更新に及ぼす影響を明らかにする。調査地は、マレーシア・サバ州デラマコット・タンクラップ森林保護区(木材生産林)およびその周辺地域を対象とする。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,熱帯林,レジリエンス,土壌劣化,森林劣化,ボルネオ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KK0119,京都大学,石田 厚,温暖化による降水量変動がタイ熱帯季節林の衰退に及ぼす影響評価,『降水変動は、タイの常緑樹林や乾季落葉樹林の樹木にどのような影響を与えるのだろうか？』この命題に答えるため、気象変動、開花・開葉や幹肥大成長のフェノロジー、樹木の水利用と糖代謝、樹木枯死といった、ミクロからマクロのデータを統合することにより、どのように？そしてなぜ？樹木が衰退するかを明らかにする。ここではタイのサケラート環境研究ステーション内にある、常緑樹林と乾季落葉樹林の二つの異なったタイプの隣接した天然林を持ちい、気候変動の観測、樹木のフェロジーと個体の水利用特性・光合成活性・樹体内の糖代謝の季節変化特性を調べる。また長期的な樹木成長や枯死を調べるため、森林動態調査を長期継続調査を行う。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,熱帯季節林,常緑樹林,乾季落葉樹林,モンスーン,フェノロジー,幹肥大成長,呼吸,光合成,降水量変動,糖代謝水分特性,糖代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KK0118,東京海洋大学,山本 洋嗣,地球温暖化・気候変動に脅かされる南米温帯性魚類の繁殖モニタリングと遺伝子資源保全,トウゴロウイワシ目魚類は南米諸国における水産重要種であり、野生環境では小型種は多くの魚食性生物の餌生物として、大型種は上位捕食者として、湖沼・河川・沿岸生態系を支える極めて重要な位置を占める。しかし、本目魚類はその性決定機構が高い水温依存性を示すことから、特に地球温暖化・気候変動に起因した性比不均衡と地域集団の絶滅が危惧される種である。本課題では、南米における魚類資源の持続的利用と水圏生態系・生物多様性保全に資するため、トウゴロウイワシ目魚類の雌雄比・生殖異常の実態調査と、先進の生殖工学的手法を駆使した遺伝子資源の半永久的保存体制の構築に取り組む。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,アルゼンチン,地球温暖化,環境依存型性決定機構,温度依存型性決定機構,トウゴロウイワシ目魚類,ペヘレイ,性決定,トウゴロウイワシ,生物多様性保全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KK0117,東京大学,岩滝 光儀,アジア太平洋沿岸域に分布する有害赤潮渦鞭毛藻の個体群識別と系統地理,アジア太平洋沿岸域では新規有害渦鞭毛藻による赤潮被害が頻発している。本研究では新規有害赤潮を形成している無殻渦鞭毛藻カレニア科を対象に培養株を作成し，微細構造観察と系統解析に基づく種組成，個体群分布，生産する毒組成をアジア太平洋沿岸域で明らかにする。アジア太平洋沿岸域に分布するカレニア科渦鞭毛藻の種組成と産生毒を評価した上で，広範に出現する赤潮原因種は個体群レベルで分布海域を把握する。海外有害藻類研究者と出現情報と試料を共有することでアジア太平洋域を広く網羅した分布域把握を可能とし，解析には若手研究者を招聘することで次世代研究者を育成しながら国際連携研究体制を強化する。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,有害藻類,渦鞭毛藻,カレニア科,系統分類,系統地理,微細構造,増殖特性,東南アジア,赤潮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KK0116,筑波大学,庄子 晶子,太平洋全域における海洋高次捕食者を指標とした水銀汚染の実態解明,本研究では、起源推定が可能である水銀輸送に焦点を当て、（1）輸送元と輸送経路及び輸送先を特定し、海鳥類による水銀輸送の実態を解明して影響評価を行うとともに、（2）海鳥類をモデル生物として、大気循環や海流に起因する大陸間輸送による水銀の海洋への影響について、水銀拡散モデルを太平洋全域で構築することで陸上の生態系への影響も検出する手法を開発することを目的としている。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,海洋汚染,北太平洋,船上センサス,同位体分析,水銀,海鳥,低次捕食者,安定同位体比,バイオロギング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KK0129,国立研究開発法人森林研究・整備機構,野口 享太郎,永久凍土の融解が樹幹メタン放出におよぼす影響の評価,永久凍土は地球の地下部炭素の約50％を貯留すると言われるが、温暖化の進行により、これが巨大な温室効果ガス放出源になってしまう可能性がある。本研究では温室効果ガス放出プロセスのうち樹幹からのメタン放出に着目し、アラスカ内陸部の永久凍土クロトウヒ林において観測を行う。森林火災跡地やヒーターを利用した昇温実験区など、凍土融解の進んだサイトにおける観測を通じて、温暖化による永久凍土融解が樹幹メタン放出におよぼす影響やその仕組みを明らかにすることを目指す。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,樹幹メタン放出,永久凍土,温暖化,クロトウヒ,下層植生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KK0128,九州大学,溝上 展也,保護地域による熱帯林保全効果の大規模完全データに基づく包括的理解,2030年までの国際目標ネイチャーポジティブ・30by30の実現に向けて保護地域（Protected Area: PA）の拡大が急務となり、同時に、保全効果の高い管理体制の構築が求められている。しかし、従来のPAの保全効果に関する研究は個別の事例研究、もしくは少数事例を国際的に統合したメタ解析がほとんどで、一国全体の保全対策に資する研究が少ない。そこで本研究では、森林減少が著しい東南アジア３か国を対象に、国際共同によるフィールド調査の品質保証プログラムを先導することによって、欠損値のない大規模完全データを構築し、PAによる熱帯林保全効果の成否要因を一国・複数国スケールで包括的に解明する。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,保護地域,東南アジア,森林減少,管理体制,品質保証,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KK0127,京都大学,EPRON Daniel,,"Our aim is to quantify the effect of the conversion of forests to tree crops on soil methane uptake, characterize spatial variability and upscale soil methane budget at country level to improve the quantification of national greenhouse gas inventory reporting in Southeast Asia countries",国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,Methane,Greenhouse gas,Land-use,Southeast Asia,Tree plantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KK0126,東京海洋大学,廣野 育生,バナナエビを対象とした有用微生物および免疫賦活剤の客観的評価指標の確立,魚介類養殖生産量は、この20年で3倍近く増加し、その80%以上がアジア地域由来である。エビ養殖は重要な産業であるが、シロアシエビはアジア地域においては外来種であり、その養殖による問題も生じている。そこで、タイ王国では在来のバナナエビ養殖研究が進められている。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,バナナエビ,シロアシエビ,生体防御,有用細菌,シングルセル解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KK0125,東北大学,深澤 遊,南米における枯死木分解に関わる菌類群集と倒木更新の生物地理,本研究では、南米のブラジル、アルゼンチン、チリの森林において複数の調査地を設定し、Araucaria属およびNothofagus属樹木の枯死木の菌類群集・材分解・実生更新の関係を明らかにし、気候条件との関係を明らかにする。菌類群集は、枯死木から直接DNAを抽出してITS領域のメタバーコーディングを行う。材の化学分析を行い、リグニンの分解比率を定量化する。日本やヨーロッパでの先行研究と同じく、低緯度でリグニンの蓄積が起こると予想している。,国際共同研究加速基金(海外連携研究),中区分40:森林圏科学、水圏応用科学およびその関連分野,枯死木,菌類,分解,倒木更新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
