awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14738,基礎生物学研究所,金澤 建彦,オルガネラ獲得に伴う膜交通経路の再配向機構,膜交通は単膜系オルガネラへ正確に物質を輸送・局在化させる仕組みである。真核生物のいくつかの系統では独自に獲得された単膜系オルガネラが報告されているが、その過程で新規膜交通経路がどのように開拓されたのかは、不明である。,若手研究,小区分44030:植物分子および生理科学関連,油体,細胞板,オルガネラ,細胞骨格,膜交通,分泌経路,ゼニゴケ,転写因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14737,国立遺伝学研究所,佐々木 武馬,微小管の脱配向化によりもたらされる新規細胞変形機構に関する研究,植物細胞は細胞板を作ることで分裂する。微小管は細胞板を形成するための主用な細胞構造である。本研究では間期と分裂期の微小管の動態を制御する微小管付随タンパク質CORDを新に同定し、その解析を進めた。研究成果として、CORDタンパク質が植物に特異的な細胞分裂時細胞構造であるフラグモプラストの微小管の長さを制御することで、細胞分裂を正に制御することを明らかにした。本研究成果によりこれまで謎が多かった植物特異的な細胞分裂様式の一端が分子的に解明された。,若手研究,小区分44030:植物分子および生理科学関連,微小管,細胞質分裂,フラグモプラスト,微小管付随タンパク質,カタニン,植物,細胞分裂,細胞骨格,シロイヌナズナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14736,甲南大学,高木 純平,ペルオキシソーム膜タンパク質の選別輸送機構,ペルオキシソームは重要な代謝機能を担うオルガネラである．しかしながら，植物におけるペルオキシソーム膜タンパク質の選別輸送機構については十分な知見がない．本研究では，様々なペルオキシソーム膜タンパク質に着目して，ライブセルイメージング解析を推進した．その結果，ペルオキシソーム前駆体様構造の内腔にペルオキシソーム内腔タンパク質が徐々に蓄積していくことで，成熟したペルオキシソームが形成されることを見出した．,若手研究,小区分44030:植物分子および生理科学関連,ペルオキシソーム,オルガネラ,選別輸送,シロイヌナズナ,peroxisome,endoplasmic reticulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14735,龍谷大学,栗田 悠子,落葉木本植物の春の成長時における冬期貯蔵リンの重要性の解明,落葉木本植物では落葉前に葉から栄養素を回収し、冬期の貯蔵を経て春に再転流することで、貴重な栄養素を効率的に利用していることが知られている。本研究ではモデル樹木であるポプラを用いて、春の開芽時における冬期貯蔵リンの分解とリンの再転流の重要性の評価を行うために、リンの冬季貯蔵分子であるイノシトール6リン酸（IP6）の分解酵素の同定を試みた。また実験室内短縮周年系における休眠-開芽時の幹の時系列トランスクリプトームを行い、長日と暖温条件を感受したのちの遺伝子発現変動プロファイルを取得した。,若手研究,小区分44030:植物分子および生理科学関連,樹木,リン,転流,季節,落葉木本植物,ポプラ,栄養塩,樹木生理学,栄養素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14734,横浜市立大学,吉田 英樹,CAPTURE法による植物の成長制御に関わる転写制御機構の解析,dCas9タンパク質およびビオチン化酵素をプロトプラスト内で安定的に発現させるコンストラクトについて検討した結果、特定のプロモーターと最適化したdCas9遺伝子配列を用いることでdCas9を安定的に発現させることができた。また、dCas9とビオチン化酵素を発現させたプロトプラストをビオチンを含むバッファーでインキュベートして、ビオチン化されたdCas9を検出することができたが、ストレプトアビジンによる沈降を確認できなかった。,若手研究,小区分44030:植物分子および生理科学関連,成長制御,転写調節,CRISPR/Cas9,技術開発,転写制御因子,プロテオミクス,CRISPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14733,京都大学,田草川 真理,厳密な母性遺伝を保証するメス由来のオルガネラDNA保護機構の解明,単細胞の緑藻・クラミドモナスの葉緑体では、メス由来の葉緑体DNAが適切に遺伝するメカニズムとして、オスの葉緑体DNAを選択的に分解していることが知られています。この現象の原因として、DNAは葉緑体の内部で核様体と呼ばれる構造を形成していることに着目して、メスの葉緑体核様体内ではタンパク質によってDNA分解から保護されている可能性を仮定しました。この観点から葉緑体核様体構成タンパク質群を同定して、そのタンパク質遺伝子の変異体の中から母性遺伝が撹乱されるものを探し、その候補タンパク質の機能を調べることで、「分解・保護するオルガネラDNAの選択」がどのように行われているかに迫ろうとしました。,若手研究,小区分44030:植物分子および生理科学関連,葉緑体,クラミドモナス,核様体,cpDNA,母性遺伝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14732,京都大学,井上 佳祐,植物における概日時計の環境応答性および標的遺伝子の組織特異性の解析,本研究では組織特異的な生物時計の性質と標的遺伝子について解析した。葉肉細胞から維管束細胞の分化を誘導する系を用いて未分化の幹細胞集団を調整し、幹細胞における時計遺伝子の標的遺伝子を解析した。その結果、幹細胞において、時計遺伝子は細胞周期や細胞分化に関わる遺伝子を標的とすることを明らかにした。以上より、生物時計が幹細胞に置いて細胞分裂や細胞分化の制御因子を統合的に制御することで、細胞の運命を決定する可能性を示した。,若手研究,小区分44030:植物分子および生理科学関連,概日時計,組織特異性,細胞分化,細胞運命決定,生物時計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14731,基礎生物学研究所,中村 守貴,重力応答性のタンパク質細胞内局在を可能にする分解制御機構の解析,重力屈性反応における重力シグナリングは、アミロプラスト沈降による重力感受とオーキシン輸送制御とをつなぐ、重力感受細胞内の重要な情報伝達プロセスである。本研究課題では、重力シグナリングの鍵因子であるLAZY1ファミリーの量的制御と時空間的細胞内挙動を解析することで、重力シグナリングの分子機構の理解を目指した。本研究により、LZY3はユビキチン化され、ユビキチン-プロテアソーム経路を介して量的制御を受けている可能性を見出した。さらには、高感度のライブイメージング技術によりLZY3の可視化に成功し、LZY3がアミロプラスト沈降に伴って重力方向側の細胞膜へと局在変化することを見出した。,若手研究,小区分44030:植物分子および生理科学関連,重力屈性,重力シグナリング,LAZY1ファミリー,タンパク質分解,細胞内局在,シグナル伝達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14730,名古屋大学,四方 明格,土壌粒子環境を模倣した生細胞イメージング系による根毛の接触応答機構の解明,陸上植物に存在する根毛は、土壌からの水分や養分の効率的吸収を担うとされる。根毛の形態や成長に関する解析は一般に、寒天培地上あるいは液体培地内で生育させた植物体を用いて行なわれる。しかしながら、根毛が本来働く土壌環境は、根毛伸長の障害となる土壌粒子などで満たされている。このような障害物に溢れた環境で、根毛がどのように成長しているのかに対してアプローチするため、本研究では土壌中の障害物を模倣した環境を顕微鏡観察可能な材料で構築した。この系を用いて、根毛が障害物と接触した際に引き起こされる細胞内変化を詳細に捉えることに成功した。,若手研究,小区分44030:植物分子および生理科学関連,根毛,土壌粒子,マイクロ流路,接触応答,機械刺激,脂質,キナーゼ,生細胞イメージング,接触刺激,極性成長,土壌環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14729,名古屋大学,武内 秀憲,花粉管誘引リガンド-受容体シグナル伝達を制御する複合体ダイナミクスの解析,被子植物が生殖を行うためには、雄の花粉管が雌しべ内を伸長し、誘引物質を感知することが必要である。本研究は、花粉管の伸長および誘引を制御する受容体タンパク質に着目し、シグナル伝達に重要な細胞内のパートナー分子の同定と細胞外の誘引物質による調節機構の解明を目的とした。受容体と相互作用する分子の探索・解析により、花粉管の伸長・誘引に関わる複数セットの分子群を同定した。また、花粉管の伸長と誘引物質の感知のそれぞれを、複数の花粉管受容体が協調して制御する作動原理の一端を明らかにした。,若手研究,小区分44030:植物分子および生理科学関連,受容体,シグナル伝達,花粉管,誘引物質,極性成長,シロイヌナズナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14728,立教大学,前川 修吾,植物の炭素/窒素制御による病原菌の感染様式に応じた抵抗性獲得機構の評価,本研究では植物の病原菌へのまだ知られていない抵抗方法の解明を目的として研究を実施した。寄生性病原菌に対する重要な抵抗手段である自発的細胞死が炭素/窒素バランス(C/N)が高いほど生じやすいことを示唆する結果を得た。また、腐敗性病原菌に対してはその逆にC/Nが低いほど抵抗性が高いことを示唆する結果を得た。また、リボソーム生合成因子に着目した解析から、C応答とリボソームストレス応答との強い関係を支持する結果を得た。本研究によって、植物のC/Nが病害応答における重要な要因であることを示唆するとともに、リボソームストレス応答がC応答に影響を与える要因であることを示した。,若手研究,小区分44030:植物分子および生理科学関連,植物免疫,栄養応答,C/N応答,細胞死,シロイヌナズナ,植物病理,植物栄養,炭素/窒素バランス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14727,東京大学,石田 英子,植物の花粉管ガイダンスを司る受精因子の構造生物学的研究,植物の花粉管伸長のメカニズムを解明するために、雌しべの助細胞から分泌される誘引ペプチド（LURE）と花粉管先端に存在するLURE受容体の構造生物学的研究を行った。複数種類のLUREペプチドおよびLURE受容体を用いて発現と精製条件の検討を行い、さまざまな組み合わせで複合体の結晶化を行ったが、構造決定には至らなかった。結晶の品質を向上させるために発現用の宿主とコンストラクトの検討を行い、精製タンパク質の結合活性をプルダウン実験で確かめた。,若手研究,小区分44030:植物分子および生理科学関連,植物の受精,構造生物学,植物の受粉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14726,北見工業大学,蔭西 知子,シグナリング分子としての細胞外ATPの植物での分泌・受容機構の解明,電子スピン共鳴装置を用いて、植物にATPまたはADPを細胞外から添加することで、細胞壁の構築に関わるとされる活性酸素ヒドロキシルラジカルを生成すること、この生成には細胞外ATP受容体DORN1を介さないということがわかった。また、細胞外ATPのシグナリングの経路に関連するとされる根のエンドサイトーシスおよびエキソサイトーシスは、実験に使用される溶媒の一種のエタノールによって撹乱されることがわかった。,若手研究,小区分44030:植物分子および生理科学関連,Arabidopsis,細胞外ATP,細胞外ADP,電子スピン共鳴装置,ヒドロキシルラジカル,根の重力屈性,細胞壁,エタノール,シロイヌナズナ,根,エンドサイトーシス,環境応答,免疫染色,キナーゼ様受容体,植物の屈性制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16174,国立研究開発法人産業技術総合研究所,坂本 真吾,植物の多様な一次細胞壁形成を制御する転写ネットワークの解明,植物細胞壁は、どの植物細胞にも普遍的に存在する細胞構造である一方、その構成成分は細胞の種類や発達ステージによって極めて多様であり、ダイナミックに変化することが知られている。本研究では、申請者が発見した一次細胞壁形成を制御する転写因子の転写ネットワークとその転写因子の働きによって形成される細胞壁構成成分との連関解析を通して、植物が細胞・発達ステージごとにどのように植物細胞壁を作り分けているかを明らかにする。,若手研究,小区分44030:植物分子および生理科学関連,植物細胞壁,プロトプラスト,個体再生,一次細胞壁,転写因子,矮化,成分分析,転写ネットワーク,植物,構成成分分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16173,立命館大学,竹中 悠人,新規GT106ファミリーに属するラムノース転移酵素遺伝子の機能解析,ペクチンは世界最大のバイオマスである植物細胞壁の主成分として、エネルギー資源開発分野などで精力的に研究されてきた。ペクチン生合成メカニズムの解明は持続可能な未来のための急務の課題である。本研究では、新たに見出したペクチンを合成する遺伝子の役割や機能を解明することを目的としている。ペクチン合成機構が解明されれば、作物の収量増大技術の開発などへの応用が期待される。,若手研究,小区分44030:植物分子および生理科学関連,植物細胞壁,多糖,ペクチン,ラムノース転移酵素,ラムノガラクツロナン-I,ポリマー,糖転移酵素ファミリー,RG-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16172,横浜市立大学,須崎 大地,雌性配偶体の細胞運命決定機構の解明,雌性配偶体は被子植物の繁栄を支える重複受精に不可欠な組織である．形成過程は独特で，1つの細胞が3回の核分裂を経て多核体となった後に細胞化し，それぞれ固有の機能を獲得する．各細胞の運命決定には多核体での核の位置や植物ホルモンの分布の違いが重要であると示唆されているが，その時期や分子実体は明らかでない．本研究は，これを明らかにするためにシロイヌナズナの2核期，4核期の多核体に着目して運命決定時に変動する遺伝子群を同定するとともに植物ホルモンの分布を調べる．結果を統合して運命決定を担う遺伝子の選抜と生理機能解析をおこなう．これにより雌性配偶体の細胞運命決定の仕組みを理解する．,若手研究,小区分44030:植物分子および生理科学関連,雌性配偶体,細胞運命,scRNA-seq,ライブイメージング,アクチン繊維,助細胞,極性分泌,卵細胞,花粉管誘引,アクチン,顕微細胞操作,RNA-seq,シロイヌナズナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16171,山口大学,山内 翔太,気孔孔辺細胞における青色光に応答したデンプン分解機構の解明,植物は青色光依存的に孔辺細胞葉緑体内のデンプンを分解することで、気孔開口にはたらく浸透物質を産出すると考えられているが、その詳しいメカニズムは不明である。これまでに青色光によりデンプン分解を制御するタンパク質を発見した。このタンパク質について、光受容からタンパク質の活性化に至るメカニズム、このタンパク質がデンプン分解を制御するメカニズム、デンプン分解後に気孔開口を促進するメカニズムを解明する。,若手研究,小区分44030:植物分子および生理科学関連,フォトトロピン,気孔開口,情報伝達,デンプン動態,デンプン分解,青色光,H+-ATPase,デンプン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
